TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	0.0	[]	2.9994376	4.489282	[]	6.2357955	7.718795	[]	11.196005	12.688235	3	12.0399065	[['3', 12.039906600024551]]
2	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	1.0	[]	17.425146	18.904451	[]	20.65327	22.137873	[]	25.624403	27.106934	2	26.33674	[['2', 26.336740700062364]]
3	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	2.0	[]	31.841951	33.329174	[]	35.076283	36.55797	[]	40.040516	41.52898	3	40.623974	[['3', 40.623973299982026]]
4	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	3.0	[]	46.26239	47.74893	[]	49.49247	50.978676	[]	54.4596	55.948776	2	55.266487	[['2', 55.26648800005205]]
5	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	60.686703	62.164284	[]	63.90971	65.39865	[]	68.881966	70.36792	3	69.449646	[['3', 69.44964600005187]]
6	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	5.0	[]	75.10333	76.588524	[]	78.33609	79.819756	[]	83.29641	84.788246	2	83.98074	[['2', 83.980743000051]]
7	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	6.0	[]	89.523575	91.004326	[]	92.75531	94.2385	[]	97.72095	99.20432	3	98.39978	[['3', 98.39977729995735]]
8	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	7.0	[]	103.94622	105.424126	[]	107.17164	108.65928	[]	112.145134	113.62976	3	112.68872	[['3', 112.68872350011952]]
9	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	8.0	[]	118.3639	119.84953	[]	121.59406	123.08083	[]	126.559814	128.04883	3	127.29898	[['3', 127.29897719994187]]
10	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	9.0	[]	132.78188	134.26976	[]	136.0139	137.49875	[]	140.98059	142.46713	3	141.68416	[['3', 141.6841635000892]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.20479	148.68973	[]	150.43173	151.91948	[]	155.40063	156.88875	3	156.02408	[['3', 156.0240784001071]]
12	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	11.0	[]	161.62643	163.10707	[]	164.8491	166.33824	[]	169.8239	171.30435	3	170.50203	[['3', 170.50203140010126]]
13	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	12.0	[]	176.04355	177.52927	[]	179.26852	180.7585	[]	184.2424	185.72736	3	184.92462	[['3', 184.92462479998358]]
