TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	4	2	1	0	0	3	1	0	1	0	7	3	1	1	0	2	1	0	0	1	0	0	0	0	0	2	1	0	0	20103011001.0	02_01,01_03,03_01,01_10,10_01	1.0	0.0	[]	3.0026538	4.489584	[]	6.2359495	7.7173953	3	6.9581423	[['3', 6.958142299903557]]	[]	11.200549	12.689724	3	11.84558	[['3', 11.84558009984903]]	[]	16.17236	17.659142	3	16.843924	[['3', 16.84392389981076]]	[]	21.14161	22.629333	3	22.040035	[['3', 22.040034299949184]]	[]	26.1107	27.59863	3	26.886436	[['3', 26.886436600005254]]
2	0	2	1	0	0	0	1	0	0	1	0	4	2	1	0	0	1	0	0	1	0	6	3	1	0	0	0	0	0	0	10002000300.0	01_00,00_02,02_00,00_03,03_00	1.0	1.0	[]	32.337505	33.81891	[]	35.56112	37.048218	3	36.248463	[['3', 36.2484630998224]]	[]	40.532784	42.018925	--	--	--	[]	45.502155	46.984383	3	47.04486	[['3', 47.044860400026664]]	[]	50.469753	51.959774	3	51.547703	[['3', 51.54770140000619]]	[]	55.441097	56.929237	3	56.54569	[['3', 56.54568709991872]]
3	1	5	2	1	1	0	1	0	0	1	1	6	3	1	0	0	2	1	0	0	0	2	1	0	0	0	5	2	1	1	120013010102.0	12_00,00_13,13_01,01_01,01_02	1.0	2.0	[]	61.66733	63.148243	[]	64.891716	66.37915	3	65.43112	[['3', 65.43112199986354]]	[]	69.86514	71.34418	3	70.454025	[['3', 70.45402599987574]]	[]	74.8267	76.31784	3	75.581154	[['3', 75.58115039998665]]	[]	79.80224	81.289375	2	80.50809	[['2', 80.50808959989808]]	[]	84.77086	86.2591	3	85.65128	[['3', 85.65127979987301]]
4	1	0	0	0	0	0	4	2	1	0	1	3	1	0	1	0	4	2	1	0	1	5	2	1	1	0	5	2	1	1	100211021202.0	10_02,02_11,11_02,02_12,12_02	1.0	3.0	[]	90.98535	92.478065	[]	94.21837	95.709076	3	94.86082	[['3', 94.86081589991227]]	[]	99.18985	100.67932	3	99.791145	[['3', 99.79114579991437]]	[]	104.16424	105.64693	3	104.904205	[['3', 104.90420669992454]]	[]	109.12547	110.618576	2	109.93146	[['2', 109.931457699975]]	[]	114.10555	115.588455	2	114.88751	[['2', 114.88751439983025]]
5	1	7	3	1	1	0	5	2	1	1	0	4	2	1	0	0	7	3	1	1	0	5	2	1	1	1	1	0	0	1	130202030210.0	13_02,02_02,02_03,03_02,02_10	1.0	4.0	[]	120.31847	121.809654	[]	123.557396	125.03792	3	124.17509	[['3', 124.17508609988727]]	[]	128.52129	130.00961	2	129.26855	[['2', 129.26855719997548]]	[]	133.48547	134.97891	3	134.38431	[['3', 134.38430879986845]]	[]	138.46513	139.94847	3	139.29527	[['3', 139.29527799994685]]	[]	143.42601	144.91805	3	144.33813	[['3', 144.33813169994392]]
6	0	3	1	0	1	1	2	1	0	0	0	2	1	0	0	1	4	2	1	0	0	3	1	0	1	1	7	3	1	1	11101120113.0	01_11,11_01,01_12,12_01,01_13	1.0	5.0	[]	149.65717	151.1388	[]	152.88443	154.36804	2	153.70914	[['2', 153.7091402998194]]	[]	157.85114	159.3382	2	158.42964	[['2', 158.42963549983688]]	[]	162.8173	164.30952	3	163.40013	[['3', 163.40013099997304]]	[]	167.78539	169.27873	3	168.87048	[['3', 168.87047889991663]]	[]	172.7641	174.25027	3	173.45122	[['3', 173.45121189998463]]
7	1	7	3	1	1	1	0	0	0	0	1	1	0	0	1	1	2	1	0	0	1	1	0	0	1	1	5	2	1	1	131010111012.0	13_10,10_10,10_11,11_10,10_12	1.0	6.0	[]	178.97658	180.46791	[]	182.2148	183.69984	3	182.80905	[['3', 182.8090474999044]]	[]	187.1804	188.66818	2	187.88004	[['2', 187.88003859994933]]	[]	192.14925	193.63895	3	192.86928	[['3', 192.86927039991133]]	[]	197.12433	198.60764	3	198.04384	[['3', 198.0438359999098]]	[]	202.0899	203.57417	3	202.82896	[['3', 202.82896489999257]]
8	0	6	3	1	0	1	2	1	0	0	0	7	3	1	1	1	4	2	1	0	0	7	3	1	1	1	7	3	1	1	31103120313.0	03_11,11_03,03_12,12_03,03_13	1.0	7.0	[]	208.31671	209.79837	[]	211.54222	213.02733	3	212.56682	[['3', 212.56681729992852]]	[]	216.5095	217.99985	3	217.66454	[['3', 217.6645358998794]]	[]	221.4763	222.968	3	222.72641	[['3', 222.72640999988653]]	[]	226.4508	227.93834	3	227.12903	[['3', 227.12903139996342]]	[]	231.42409	232.90912	2	232.53273	[['2', 232.5327243998181]]
9	0	1	0	0	1	1	0	0	0	0	0	1	0	0	1	1	3	1	0	1	0	0	0	0	0	1	4	2	1	0	1000110012.0	00_10,10_00,00_11,11_00,00_12	1.0	8.0	[]	237.64195	239.12952	[]	240.87895	242.359	2	241.41603	[['2', 241.41603529988788]]	[]	245.84192	247.32838	2	246.46318	[['2', 246.46318359998986]]	[]	250.80972	252.29924	3	251.53065	[['3', 251.53064819984138]]	[]	255.7848	257.26807	3	256.98264	[['3', 256.98264599987306]]	[]	260.7507	262.23868	3	261.73788	[['3', 261.7378942000214]]
10	0	4	2	1	0	1	7	3	1	1	0	7	3	1	1	0	7	3	1	1	1	0	0	0	0	0	6	3	1	0	21303031003.0	02_13,13_03,03_03,03_10,10_03	1.0	9.0	[]	266.97635	268.45776	[]	270.20117	271.6892	3	270.96387	[['3', 270.96387209999375]]	[]	275.1697	276.65454	2	276.08853	[['2', 276.08852180000395]]	[]	280.1427	281.62955	2	280.8464	[['2', 280.8464064998552]]	[]	285.109	286.59906	3	285.79398	[['3', 285.79397709993646]]	[]	290.08395	291.56964	3	291.14478	[['3', 291.14476339984685]]
