TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	0.0	[]	3.0054994	4.488727	[]	6.2306085	7.7180004	[]	11.205546	12.688329	2	11.899738	[['2', 11.899738600011915]]
2	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	1.0	[]	17.423426	18.908955	[]	20.655672	22.138157	[]	25.619854	27.109053	3	26.271301	[['3', 26.271302100038156]]
3	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	2.0	[]	31.847574	33.32865	[]	35.070366	36.558773	[]	40.044975	41.528534	2	40.565804	[['2', 40.56580250011757]]
4	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	3.0	[]	46.26336	47.749073	[]	49.49039	50.978607	[]	54.46289	55.949364	3	55.184933	[['3', 55.184933700133115]]
5	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	60.68132	62.167618	[]	63.91373	65.39939	[]	68.87548	70.3675	3	69.597435	[['3', 69.59743249998428]]
6	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	5.0	[]	75.10299	76.58851	[]	78.3299	79.81895	[]	83.299995	84.78833	3	83.85745	[['3', 83.85745550016873]]
7	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	6.0	[]	89.523415	91.008736	[]	92.74557	94.23809	[]	97.72309	99.208755	3	98.39232	[['3', 98.39231700007804]]
8	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	7.0	[]	103.942	105.42896	[]	107.17254	108.659134	[]	112.14049	113.628845	3	112.83293	[['3', 112.8329327001702]]
9	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	8.0	[]	118.36484	119.84881	[]	121.591194	123.078575	[]	126.558716	128.04926	3	127.503174	[['3', 127.50317290006205]]
10	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	9.0	[]	132.7871	134.26491	[]	136.01004	137.49922	[]	140.98608	142.46848	2	141.56258	[['2', 141.5625779000111]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.19888	148.68945	[]	150.43655	151.91846	[]	155.40007	156.88817	3	156.00354	[['3', 156.00353830005042]]
12	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	11.0	[]	161.62239	163.1046	[]	164.85275	166.33867	[]	169.82083	171.30457	3	170.50203	[['3', 170.50202980008908]]
13	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	12.0	[]	176.04611	177.52914	[]	179.27168	180.75455	[]	184.24391	185.72928	3	184.82745	[['3', 184.82745190011337]]
