TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	0.0	[]	3.0045085	4.489365	[]	6.2331324	7.717785	[]	11.204808	12.684085	2	11.805397	[['2', 11.80539710004814]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	1.0	[]	17.423952	18.908884	[]	20.65212	22.13939	[]	25.616442	27.108608	3	26.356104	[['3', 26.356103400001302]]
3	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	2.0	[]	31.846266	33.324516	[]	35.066544	36.554543	[]	40.04777	41.524666	3	40.93079	[['3', 40.93078919989057]]
4	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	3.0	[]	46.263817	47.748287	[]	49.489697	50.978996	[]	54.464878	55.948315	2	55.147636	[['2', 55.14763809996657]]
5	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	4.0	[]	60.681732	62.164364	[]	63.912422	65.39848	[]	68.881584	70.367714	2	69.46644	[['2', 69.4664370000828]]
6	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	5.0	[]	75.10074	76.588776	[]	78.33435	79.81873	[]	83.3004	84.78838	3	84.06047	[['3', 84.06046970002353]]
7	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	6.0	[]	89.52602	91.00881	[]	92.75059	94.23857	[]	97.72681	99.20911	3	98.483246	[['3', 98.48324339999817]]
8	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	7.0	[]	103.94239	105.42445	[]	107.17182	108.65882	[]	112.14218	113.62445	3	112.86442	[['3', 112.86441519996151]]
9	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	8.0	[]	118.362335	119.84892	[]	121.59524	123.07983	[]	126.55639	128.04872	3	127.37569	[['3', 127.37568369996734]]
10	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	9.0	[]	132.78264	134.26427	[]	136.00653	137.49818	[]	140.98035	142.4644	2	141.86821	[['2', 141.86821689992212]]
11	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	10.0	[]	147.20683	148.68878	[]	150.4312	151.91905	[]	155.40445	156.8846	3	156.2	[['3', 156.1999927998986]]
12	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	11.0	[]	161.62405	163.1087	[]	164.8535	166.33827	[]	169.82079	171.30872	3	170.52664	[['3', 170.5266452000942]]
13	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	12.0	[]	176.04146	177.52777	[]	179.27365	180.75862	[]	184.23941	185.72484	2	184.81027	[['2', 184.81026610010304]]
