stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,False
9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
6,0,0,1,3,0,3,6,3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,False
14,1,1,1,3,0,7,6,15,1,1,1,3,1,7,7,13,1,1,1,2,1,6,5,False
3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,False
10,1,1,0,1,0,5,2,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,8,1,1,0,0,0,4,0,False
2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,True
12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
9,1,1,0,0,1,4,1,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,True
7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,False
2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,False
5,0,0,1,2,1,2,5,4,0,0,1,2,0,2,4,2,0,0,0,1,0,1,2,False
13,1,1,1,2,1,6,5,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,11,1,1,0,1,1,5,3,False
3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,False
12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,False
11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
