stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
2,0,0,0,1,0,1,2,6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,False
4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,True
0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,12,1,1,1,2,0,6,4,True
3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,7,0,0,1,3,1,3,7,True
11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,False
4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,2,0,0,0,1,0,1,2,True
10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,3,0,0,0,1,1,1,3,True
8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,9,1,1,0,0,1,4,1,False
3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,False
12,1,1,1,2,0,6,4,15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,False
2,0,0,0,1,0,1,2,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,True
1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,9,1,1,0,0,1,4,1,True
7,0,0,1,3,1,3,7,11,1,1,0,1,1,5,3,2,0,0,0,1,0,1,2,True
11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,10,1,1,0,1,0,5,2,False
13,1,1,1,2,1,6,5,1,0,0,0,0,1,0,1,10,1,1,0,1,0,5,2,False
6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,1,0,0,0,0,1,0,1,True
7,0,0,1,3,1,3,7,12,1,1,1,2,0,6,4,5,0,0,1,2,1,2,5,True
5,0,0,1,2,1,2,5,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
