stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
10,1,1,0,0,5,2,1,0,0,1,0,0,1,3,1,0,1,0,1,3,13,2,1,1,1,6,5,True,True
12,2,1,0,1,6,4,0,0,0,0,0,0,0,8,0,1,0,0,4,0,9,0,1,1,0,4,1,False,True
3,1,0,1,0,1,3,11,1,1,1,0,5,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,False,True
15,3,1,1,1,7,7,2,1,0,0,0,1,2,5,2,0,1,1,2,5,3,1,0,1,0,1,3,True,False
10,1,1,0,0,5,2,8,0,1,0,0,4,0,4,2,0,0,1,2,4,6,3,0,0,1,3,6,False,False
6,3,0,0,1,3,6,0,0,0,0,0,0,0,14,3,1,0,1,7,6,4,2,0,0,1,2,4,False,True
10,1,1,0,0,5,2,7,3,0,1,1,3,7,7,3,0,1,1,3,7,12,2,1,0,1,6,4,True,True
5,2,0,1,1,2,5,5,2,0,1,1,2,5,13,2,1,1,1,6,5,9,0,1,1,0,4,1,False,False
7,3,0,1,1,3,7,3,1,0,1,0,1,3,10,1,1,0,0,5,2,9,0,1,1,0,4,1,False,False
1,0,0,1,0,0,1,15,3,1,1,1,7,7,15,3,1,1,1,7,7,8,0,1,0,0,4,0,True,False
0,0,0,0,0,0,0,12,2,1,0,1,6,4,0,0,0,0,0,0,0,4,2,0,0,1,2,4,False,True
2,1,0,0,0,1,2,15,3,1,1,1,7,7,1,0,0,1,0,0,1,6,3,0,0,1,3,6,False,True
11,1,1,1,0,5,3,9,0,1,1,0,4,1,15,3,1,1,1,7,7,15,3,1,1,1,7,7,True,True
2,1,0,0,0,1,2,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,1,2,True,True
3,1,0,1,0,1,3,0,0,0,0,0,0,0,5,2,0,1,1,2,5,13,2,1,1,1,6,5,True,False
6,3,0,0,1,3,6,12,2,1,0,1,6,4,1,0,0,1,0,0,1,2,1,0,0,0,1,2,False,True
