stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
15,3,1,1,1,7,7,6,3,0,0,1,3,6,1,0,0,1,0,0,1,5,2,0,1,1,2,5,True,False
9,0,1,1,0,4,1,3,1,0,1,0,1,3,9,0,1,1,0,4,1,0,0,0,0,0,0,0,False,False
6,3,0,0,1,3,6,8,0,1,0,0,4,0,0,0,0,0,0,0,0,13,2,1,1,1,6,5,False,False
0,0,0,0,0,0,0,2,1,0,0,0,1,2,12,2,1,0,1,6,4,5,2,0,1,1,2,5,False,True
13,2,1,1,1,6,5,0,0,0,0,0,0,0,5,2,0,1,1,2,5,14,3,1,0,1,7,6,True,True
15,3,1,1,1,7,7,8,0,1,0,0,4,0,0,0,0,0,0,0,0,12,2,1,0,1,6,4,False,True
3,1,0,1,0,1,3,2,1,0,0,0,1,2,6,3,0,0,1,3,6,2,1,0,0,0,1,2,True,True
2,1,0,0,0,1,2,14,3,1,0,1,7,6,2,1,0,0,0,1,2,4,2,0,0,1,2,4,False,True
11,1,1,1,0,5,3,9,0,1,1,0,4,1,2,1,0,0,0,1,2,11,1,1,1,0,5,3,False,True
13,2,1,1,1,6,5,2,1,0,0,0,1,2,1,0,0,1,0,0,1,10,1,1,0,0,5,2,True,True
7,3,0,1,1,3,7,5,2,0,1,1,2,5,6,3,0,0,1,3,6,4,2,0,0,1,2,4,True,True
0,0,0,0,0,0,0,9,0,1,1,0,4,1,15,3,1,1,1,7,7,5,2,0,1,1,2,5,True,True
2,1,0,0,0,1,2,15,3,1,1,1,7,7,8,0,1,0,0,4,0,8,0,1,0,0,4,0,True,False
10,1,1,0,0,5,2,4,2,0,0,1,2,4,4,2,0,0,1,2,4,3,1,0,1,0,1,3,True,False
4,2,0,0,1,2,4,1,0,0,1,0,0,1,8,0,1,0,0,4,0,11,1,1,1,0,5,3,False,False
1,0,0,1,0,0,1,5,2,0,1,1,2,5,7,3,0,1,1,3,7,1,0,0,1,0,0,1,True,True
