stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
8,0,1,0,0,4,0,10,1,1,0,0,5,2,7,3,0,1,1,3,7,14,3,1,0,1,7,6,False,True
1,0,0,1,0,0,1,11,1,1,1,0,5,3,9,0,1,1,0,4,1,7,3,0,1,1,3,7,True,True
3,1,0,1,0,1,3,5,2,0,1,1,2,5,0,0,0,0,0,0,0,10,1,1,0,0,5,2,True,False
6,3,0,0,1,3,6,5,2,0,1,1,2,5,9,0,1,1,0,4,1,5,2,0,1,1,2,5,False,True
2,1,0,0,0,1,2,2,1,0,0,0,1,2,4,2,0,0,1,2,4,8,0,1,0,0,4,0,True,False
12,2,1,0,1,6,4,8,0,1,0,0,4,0,7,3,0,1,1,3,7,15,3,1,1,1,7,7,False,True
13,2,1,1,1,6,5,10,1,1,0,0,5,2,13,2,1,1,1,6,5,10,1,1,0,0,5,2,True,True
6,3,0,0,1,3,6,7,3,0,1,1,3,7,6,3,0,0,1,3,6,2,1,0,0,0,1,2,True,True
8,0,1,0,0,4,0,10,1,1,0,0,5,2,1,0,0,1,0,0,1,15,3,1,1,1,7,7,False,True
3,1,0,1,0,1,3,9,0,1,1,0,4,1,13,2,1,1,1,6,5,11,1,1,1,0,5,3,True,False
4,2,0,0,1,2,4,0,0,0,0,0,0,0,8,0,1,0,0,4,0,6,3,0,0,1,3,6,False,True
4,2,0,0,1,2,4,13,2,1,1,1,6,5,3,1,0,1,0,1,3,2,1,0,0,0,1,2,False,True
8,0,1,0,0,4,0,15,3,1,1,1,7,7,11,1,1,1,0,5,3,1,0,0,1,0,0,1,True,False
0,0,0,0,0,0,0,15,3,1,1,1,7,7,6,3,0,0,1,3,6,14,3,1,0,1,7,6,False,False
4,2,0,0,1,2,4,4,2,0,0,1,2,4,8,0,1,0,0,4,0,1,0,0,1,0,0,1,False,True
5,2,0,1,1,2,5,15,3,1,1,1,7,7,10,1,1,0,0,5,2,14,3,1,0,1,7,6,True,False
