stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,13,1,1,1,2,1,6,5,True
2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,8,1,1,0,0,0,4,0,True
1,0,0,0,0,1,0,1,13,1,1,1,2,1,6,5,15,1,1,1,3,1,7,7,False
7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
11,1,1,0,1,1,5,3,8,1,1,0,0,0,4,0,8,1,1,0,0,0,4,0,True
3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,True
7,0,0,1,3,1,3,7,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,True
10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,8,1,1,0,0,0,4,0,True
12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,2,0,0,0,1,0,1,2,True
15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
9,1,1,0,0,1,4,1,13,1,1,1,2,1,6,5,4,0,0,1,2,0,2,4,True
0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,10,1,1,0,1,0,5,2,True
7,0,0,1,3,1,3,7,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,True
7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,2,0,0,0,1,0,1,2,True
4,0,0,1,2,0,2,4,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
4,0,0,1,2,0,2,4,12,1,1,1,2,0,6,4,3,0,0,0,1,1,1,3,False
11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
3,0,0,0,1,1,1,3,15,1,1,1,3,1,7,7,8,1,1,0,0,0,4,0,False
4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,11,1,1,0,1,1,5,3,False
