stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
12,1,1,1,2,0,6,4,6,0,0,1,3,0,3,6,14,1,1,1,3,0,7,6,True
9,1,1,0,0,1,4,1,7,0,0,1,3,1,3,7,3,0,0,0,1,1,1,3,True
7,0,0,1,3,1,3,7,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,True
14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
10,1,1,0,1,0,5,2,14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,False
4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,0,0,0,0,0,0,0,0,False
2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,6,0,0,1,3,0,3,6,True
7,0,0,1,3,1,3,7,10,1,1,0,1,0,5,2,5,0,0,1,2,1,2,5,False
5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,True
3,0,0,0,1,1,1,3,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,False
11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,False
11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,7,0,0,1,3,1,3,7,False
13,1,1,1,2,1,6,5,7,0,0,1,3,1,3,7,6,0,0,1,3,0,3,6,True
0,0,0,0,0,0,0,0,11,1,1,0,1,1,5,3,11,1,1,0,1,1,5,3,True
14,1,1,1,3,0,7,6,10,1,1,0,1,0,5,2,1,0,0,0,0,1,0,1,False
13,1,1,1,2,1,6,5,10,1,1,0,1,0,5,2,3,0,0,0,1,1,1,3,False
8,1,1,0,0,0,4,0,14,1,1,1,3,0,7,6,12,1,1,1,2,0,6,4,True
1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,False
8,1,1,0,0,0,4,0,3,0,0,0,1,1,1,3,10,1,1,0,1,0,5,2,True
