stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
1,0,0,1,0,0,1,5,2,0,1,1,2,5,7,3,0,1,1,3,7,11,1,1,1,0,5,3,True,False
7,3,0,1,1,3,7,4,2,0,0,1,2,4,13,2,1,1,1,6,5,8,0,1,0,0,4,0,False,False
7,3,0,1,1,3,7,9,0,1,1,0,4,1,6,3,0,0,1,3,6,11,1,1,1,0,5,3,False,False
14,3,1,0,1,7,6,5,2,0,1,1,2,5,8,0,1,0,0,4,0,15,3,1,1,1,7,7,False,True
10,1,1,0,0,5,2,10,1,1,0,0,5,2,9,0,1,1,0,4,1,10,1,1,0,0,5,2,True,True
2,1,0,0,0,1,2,8,0,1,0,0,4,0,8,0,1,0,0,4,0,12,2,1,0,1,6,4,True,False
2,1,0,0,0,1,2,3,1,0,1,0,1,3,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,True
0,0,0,0,0,0,0,11,1,1,1,0,5,3,5,2,0,1,1,2,5,3,1,0,1,0,1,3,False,True
12,2,1,0,1,6,4,13,2,1,1,1,6,5,0,0,0,0,0,0,0,7,3,0,1,1,3,7,False,False
14,3,1,0,1,7,6,4,2,0,0,1,2,4,12,2,1,0,1,6,4,7,3,0,1,1,3,7,False,False
5,2,0,1,1,2,5,3,1,0,1,0,1,3,2,1,0,0,0,1,2,6,3,0,0,1,3,6,True,True
14,3,1,0,1,7,6,10,1,1,0,0,5,2,9,0,1,1,0,4,1,8,0,1,0,0,4,0,True,True
5,2,0,1,1,2,5,13,2,1,1,1,6,5,5,2,0,1,1,2,5,0,0,0,0,0,0,0,False,True
10,1,1,0,0,5,2,0,0,0,0,0,0,0,3,1,0,1,0,1,3,9,0,1,1,0,4,1,True,True
13,2,1,1,1,6,5,11,1,1,1,0,5,3,7,3,0,1,1,3,7,2,1,0,0,0,1,2,False,False
10,1,1,0,0,5,2,5,2,0,1,1,2,5,7,3,0,1,1,3,7,2,1,0,0,0,1,2,True,False
