stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,10,1,1,0,1,0,5,2,True
14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,4,0,0,1,2,0,2,4,True
12,1,1,1,2,0,6,4,14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,True
2,0,0,0,1,0,1,2,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,False
8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,False
11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,11,1,1,0,1,1,5,3,False
7,0,0,1,3,1,3,7,2,0,0,0,1,0,1,2,8,1,1,0,0,0,4,0,True
15,1,1,1,3,1,7,7,13,1,1,1,2,1,6,5,8,1,1,0,0,0,4,0,False
1,0,0,0,0,1,0,1,6,0,0,1,3,0,3,6,6,0,0,1,3,0,3,6,True
11,1,1,0,1,1,5,3,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,True
13,1,1,1,2,1,6,5,10,1,1,0,1,0,5,2,9,1,1,0,0,1,4,1,True
1,0,0,0,0,1,0,1,3,0,0,0,1,1,1,3,6,0,0,1,3,0,3,6,False
12,1,1,1,2,0,6,4,2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,True
4,0,0,1,2,0,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,True
2,0,0,0,1,0,1,2,10,1,1,0,1,0,5,2,0,0,0,0,0,0,0,0,True
8,1,1,0,0,0,4,0,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,False
1,0,0,0,0,1,0,1,15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,True
6,0,0,1,3,0,3,6,6,0,0,1,3,0,3,6,0,0,0,0,0,0,0,0,False
13,1,1,1,2,1,6,5,9,1,1,0,0,1,4,1,6,0,0,1,3,0,3,6,False
3,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,14,1,1,1,3,0,7,6,False
