stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
5,2,0,1,1,2,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,15,3,1,1,1,7,7,True,False
6,3,0,0,1,3,6,13,2,1,1,1,6,5,8,0,1,0,0,4,0,1,0,0,1,0,0,1,True,True
15,3,1,1,1,7,7,2,1,0,0,0,1,2,4,2,0,0,1,2,4,8,0,1,0,0,4,0,True,True
15,3,1,1,1,7,7,5,2,0,1,1,2,5,15,3,1,1,1,7,7,15,3,1,1,1,7,7,False,True
1,0,0,1,0,0,1,10,1,1,0,0,5,2,10,1,1,0,0,5,2,4,2,0,0,1,2,4,True,True
9,0,1,1,0,4,1,11,1,1,1,0,5,3,6,3,0,0,1,3,6,2,1,0,0,0,1,2,False,False
9,0,1,1,0,4,1,1,0,0,1,0,0,1,15,3,1,1,1,7,7,12,2,1,0,1,6,4,False,True
14,3,1,0,1,7,6,12,2,1,0,1,6,4,3,1,0,1,0,1,3,0,0,0,0,0,0,0,False,False
6,3,0,0,1,3,6,1,0,0,1,0,0,1,1,0,0,1,0,0,1,13,2,1,1,1,6,5,True,False
2,1,0,0,0,1,2,13,2,1,1,1,6,5,9,0,1,1,0,4,1,0,0,0,0,0,0,0,True,True
15,3,1,1,1,7,7,1,0,0,1,0,0,1,3,1,0,1,0,1,3,10,1,1,0,0,5,2,True,True
11,1,1,1,0,5,3,14,3,1,0,1,7,6,0,0,0,0,0,0,0,7,3,0,1,1,3,7,False,False
1,0,0,1,0,0,1,15,3,1,1,1,7,7,8,0,1,0,0,4,0,3,1,0,1,0,1,3,True,True
5,2,0,1,1,2,5,2,1,0,0,0,1,2,11,1,1,1,0,5,3,15,3,1,1,1,7,7,False,False
9,0,1,1,0,4,1,3,1,0,1,0,1,3,1,0,0,1,0,0,1,9,0,1,1,0,4,1,True,True
7,3,0,1,1,3,7,11,1,1,1,0,5,3,6,3,0,0,1,3,6,9,0,1,1,0,4,1,False,False
