stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,14,1,1,1,3,0,7,6,True
10,1,1,0,1,0,5,2,9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,False
2,0,0,0,1,0,1,2,11,1,1,0,1,1,5,3,9,1,1,0,0,1,4,1,False
1,0,0,0,0,1,0,1,5,0,0,1,2,1,2,5,0,0,0,0,0,0,0,0,True
1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,4,0,0,1,2,0,2,4,True
14,1,1,1,3,0,7,6,1,0,0,0,0,1,0,1,3,0,0,0,1,1,1,3,True
13,1,1,1,2,1,6,5,3,0,0,0,1,1,1,3,11,1,1,0,1,1,5,3,False
5,0,0,1,2,1,2,5,7,0,0,1,3,1,3,7,4,0,0,1,2,0,2,4,False
12,1,1,1,2,0,6,4,12,1,1,1,2,0,6,4,11,1,1,0,1,1,5,3,False
6,0,0,1,3,0,3,6,8,1,1,0,0,0,4,0,9,1,1,0,0,1,4,1,True
2,0,0,0,1,0,1,2,14,1,1,1,3,0,7,6,0,0,0,0,0,0,0,0,False
6,0,0,1,3,0,3,6,9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,True
6,0,0,1,3,0,3,6,1,0,0,0,0,1,0,1,9,1,1,0,0,1,4,1,False
2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,False
9,1,1,0,0,1,4,1,1,0,0,0,0,1,0,1,11,1,1,0,1,1,5,3,False
2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,6,0,0,1,3,0,3,6,False
10,1,1,0,1,0,5,2,14,1,1,1,3,0,7,6,6,0,0,1,3,0,3,6,False
3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,10,1,1,0,1,0,5,2,False
12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,False
