stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
2,1,0,0,0,1,2,11,1,1,1,0,5,3,8,0,1,0,0,4,0,6,3,0,0,1,3,6,True,True
15,3,1,1,1,7,7,14,3,1,0,1,7,6,0,0,0,0,0,0,0,5,2,0,1,1,2,5,False,False
8,0,1,0,0,4,0,10,1,1,0,0,5,2,15,3,1,1,1,7,7,3,1,0,1,0,1,3,True,False
0,0,0,0,0,0,0,3,1,0,1,0,1,3,4,2,0,0,1,2,4,1,0,0,1,0,0,1,True,True
10,1,1,0,0,5,2,13,2,1,1,1,6,5,13,2,1,1,1,6,5,15,3,1,1,1,7,7,True,True
6,3,0,0,1,3,6,14,3,1,0,1,7,6,15,3,1,1,1,7,7,0,0,0,0,0,0,0,True,True
11,1,1,1,0,5,3,8,0,1,0,0,4,0,11,1,1,1,0,5,3,14,3,1,0,1,7,6,True,True
0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0,0,1,0,0,1,8,0,1,0,0,4,0,True,False
5,2,0,1,1,2,5,14,3,1,0,1,7,6,9,0,1,1,0,4,1,8,0,1,0,0,4,0,True,False
9,0,1,1,0,4,1,12,2,1,0,1,6,4,0,0,0,0,0,0,0,12,2,1,0,1,6,4,False,True
1,0,0,1,0,0,1,3,1,0,1,0,1,3,1,0,0,1,0,0,1,13,2,1,1,1,6,5,True,False
3,1,0,1,0,1,3,1,0,0,1,0,0,1,10,1,1,0,0,5,2,12,2,1,0,1,6,4,False,False
2,1,0,0,0,1,2,11,1,1,1,0,5,3,1,0,0,1,0,0,1,9,0,1,1,0,4,1,False,False
6,3,0,0,1,3,6,7,3,0,1,1,3,7,12,2,1,0,1,6,4,11,1,1,1,0,5,3,False,False
9,0,1,1,0,4,1,8,0,1,0,0,4,0,10,1,1,0,0,5,2,5,2,0,1,1,2,5,True,False
8,0,1,0,0,4,0,5,2,0,1,1,2,5,12,2,1,0,1,6,4,0,0,0,0,0,0,0,False,False
