stim1,objmod1,locmod1,angmod1,ctgmod1,objlocmod1,ref1,stim2,objmod2,locmod2,angmod2,ctgmod2,objlocmod2,ref2,stim3,objmod3,locmod3,angmod3,ctgmod3,objlocmod3,ref3,stim4,objmod4,locmod4,angmod4,ctgmod4,objlocmod4,ref4,action1,action2
15,3,1,1,1,7,7,5,2,0,1,1,2,5,6,3,0,0,1,3,6,6,3,0,0,1,3,6,False,True
15,3,1,1,1,7,7,0,0,0,0,0,0,0,14,3,1,0,1,7,6,8,0,1,0,0,4,0,False,False
12,2,1,0,1,6,4,15,3,1,1,1,7,7,8,0,1,0,0,4,0,2,1,0,0,0,1,2,False,False
1,0,0,1,0,0,1,8,0,1,0,0,4,0,0,0,0,0,0,0,0,13,2,1,1,1,6,5,True,False
14,3,1,0,1,7,6,6,3,0,0,1,3,6,11,1,1,1,0,5,3,6,3,0,0,1,3,6,False,True
9,0,1,1,0,4,1,5,2,0,1,1,2,5,9,0,1,1,0,4,1,8,0,1,0,0,4,0,False,True
5,2,0,1,1,2,5,7,3,0,1,1,3,7,4,2,0,0,1,2,4,14,3,1,0,1,7,6,False,False
2,1,0,0,0,1,2,8,0,1,0,0,4,0,2,1,0,0,0,1,2,4,2,0,0,1,2,4,False,False
3,1,0,1,0,1,3,2,1,0,0,0,1,2,7,3,0,1,1,3,7,3,1,0,1,0,1,3,False,True
0,0,0,0,0,0,0,13,2,1,1,1,6,5,1,0,0,1,0,0,1,14,3,1,0,1,7,6,False,False
3,1,0,1,0,1,3,3,1,0,1,0,1,3,3,1,0,1,0,1,3,8,0,1,0,0,4,0,True,False
13,2,1,1,1,6,5,11,1,1,1,0,5,3,1,0,0,1,0,0,1,1,0,0,1,0,0,1,False,False
1,0,0,1,0,0,1,3,1,0,1,0,1,3,14,3,1,0,1,7,6,9,0,1,1,0,4,1,False,True
4,2,0,0,1,2,4,4,2,0,0,1,2,4,9,0,1,1,0,4,1,2,1,0,0,0,1,2,False,False
1,0,0,1,0,0,1,1,0,0,1,0,0,1,5,2,0,1,1,2,5,5,2,0,1,1,2,5,False,False
3,1,0,1,0,1,3,12,2,1,0,1,6,4,4,2,0,0,1,2,4,13,2,1,1,1,6,5,True,False
