stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
11,1,1,0,1,1,5,3,6,0,0,1,3,0,3,6,15,1,1,1,3,1,7,7,True
4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,10,1,1,0,1,0,5,2,True
13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,False
2,0,0,0,1,0,1,2,12,1,1,1,2,0,6,4,8,1,1,0,0,0,4,0,False
0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,3,5,0,0,1,2,1,2,5,False
8,1,1,0,0,0,4,0,12,1,1,1,2,0,6,4,10,1,1,0,1,0,5,2,False
7,0,0,1,3,1,3,7,11,1,1,0,1,1,5,3,10,1,1,0,1,0,5,2,True
10,1,1,0,1,0,5,2,15,1,1,1,3,1,7,7,4,0,0,1,2,0,2,4,True
7,0,0,1,3,1,3,7,7,0,0,1,3,1,3,7,11,1,1,0,1,1,5,3,False
12,1,1,1,2,0,6,4,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,False
2,0,0,0,1,0,1,2,7,0,0,1,3,1,3,7,3,0,0,0,1,1,1,3,False
13,1,1,1,2,1,6,5,10,1,1,0,1,0,5,2,12,1,1,1,2,0,6,4,False
11,1,1,0,1,1,5,3,1,0,0,0,0,1,0,1,12,1,1,1,2,0,6,4,False
13,1,1,1,2,1,6,5,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
9,1,1,0,0,1,4,1,4,0,0,1,2,0,2,4,7,0,0,1,3,1,3,7,True
11,1,1,0,1,1,5,3,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
0,0,0,0,0,0,0,0,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,False
7,0,0,1,3,1,3,7,5,0,0,1,2,1,2,5,2,0,0,0,1,0,1,2,False
11,1,1,0,1,1,5,3,12,1,1,1,2,0,6,4,2,0,0,0,1,0,1,2,False
1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,0,0,0,0,0,0,0,0,False
