stim1,loc1,locmod1,ctgmod1,objmod1,angmod1,objlocmod1,ref1,stim2,loc2,locmod2,ctgmod2,objmod2,angmod2,objlocmod2,ref2,stim3,loc3,locmod3,ctgmod3,objmod3,angmod3,objlocmod3,ref3,action
4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,0,0,0,0,0,0,0,0,False
8,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,13,1,1,1,2,1,6,5,False
5,0,0,1,2,1,2,5,8,1,1,0,0,0,4,0,13,1,1,1,2,1,6,5,False
15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,3,0,0,0,1,1,1,3,False
8,1,1,0,0,0,4,0,10,1,1,0,1,0,5,2,2,0,0,0,1,0,1,2,True
0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,15,1,1,1,3,1,7,7,False
4,0,0,1,2,0,2,4,11,1,1,0,1,1,5,3,14,1,1,1,3,0,7,6,False
1,0,0,0,0,1,0,1,4,0,0,1,2,0,2,4,3,0,0,0,1,1,1,3,False
5,0,0,1,2,1,2,5,14,1,1,1,3,0,7,6,11,1,1,0,1,1,5,3,False
8,1,1,0,0,0,4,0,6,0,0,1,3,0,3,6,5,0,0,1,2,1,2,5,False
5,0,0,1,2,1,2,5,15,1,1,1,3,1,7,7,1,0,0,0,0,1,0,1,False
5,0,0,1,2,1,2,5,13,1,1,1,2,1,6,5,5,0,0,1,2,1,2,5,True
14,1,1,1,3,0,7,6,2,0,0,0,1,0,1,2,5,0,0,1,2,1,2,5,False
15,1,1,1,3,1,7,7,15,1,1,1,3,1,7,7,7,0,0,1,3,1,3,7,True
4,0,0,1,2,0,2,4,9,1,1,0,0,1,4,1,9,1,1,0,0,1,4,1,True
14,1,1,1,3,0,7,6,8,1,1,0,0,0,4,0,2,0,0,0,1,0,1,2,False
0,0,0,0,0,0,0,0,14,1,1,1,3,0,7,6,7,0,0,1,3,1,3,7,True
11,1,1,0,1,1,5,3,5,0,0,1,2,1,2,5,12,1,1,1,2,0,6,4,True
3,0,0,0,1,1,1,3,12,1,1,1,2,0,6,4,7,0,0,1,3,1,3,7,False
9,1,1,0,0,1,4,1,12,1,1,1,2,0,6,4,13,1,1,1,2,1,6,5,True
