TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	trial_end
1	0	4	2	1	0	1	6	3	1	0	1	6	3	1	0	21313.0	1.0	0.0	[]	3.00453	4.489214	[]	4.992292	6.479555	[]	9.964648	11.448656	2	10.790943	[['2', 10.790943600004539]]	--
2	0	4	2	1	0	0	1	0	0	1	1	0	0	0	0	20010.0	1.0	1.0	[]	14.9317875	16.414507	[]	16.923111	18.40917	[]	21.893204	23.379429	3	22.540028	[['3', 22.54002740001306]]	--
3	1	2	1	0	0	0	3	1	0	1	1	4	2	1	0	110112.0	1.0	2.0	[]	26.862316	28.348932	[]	28.856022	30.338854	[]	33.82165	35.309284	3	34.559338	[['3', 34.559338100021705]]	--
4	0	0	0	0	0	0	1	0	0	1	1	2	1	0	0	11.0	1.0	3.0	[]	38.79439	40.279495	[]	40.78282	42.268307	[]	45.749405	47.23469	3	46.47553	[['3', 46.47552750003524]]	--
5	0	2	1	0	0	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	50.72131	52.209904	[]	52.71216	54.19841	[]	57.684093	59.168686	3	58.42698	[['3', 58.426977900089696]]	--
6	0	2	1	0	0	1	5	2	1	1	0	7	3	1	1	11203.0	1.0	5.0	[]	62.652466	64.13441	[]	64.64644	66.12904	[]	69.61217	71.0994	3	70.47448	[['3', 70.47447990020737]]	--
7	0	5	2	1	1	0	0	0	0	0	1	6	3	1	0	20013.0	1.0	6.0	[]	74.58011	76.06872	[]	76.57283	78.05967	[]	81.541145	83.02971	3	82.9035	[['3', 82.90350070013665]]	--
8	1	7	3	1	1	1	1	0	0	1	0	3	1	0	1	131001.0	1.0	7.0	[]	86.51479	88.000984	[]	88.50175	89.98998	[]	93.472015	94.95841	3	94.46145	[['3', 94.46144530014135]]	--
9	0	3	1	0	1	0	1	0	0	1	0	5	2	1	1	10002.0	1.0	8.0	[]	98.44391	99.92449	[]	100.43158	101.91446	[]	105.40116	106.888985	3	106.154976	[['3', 106.15497849998064]]	--
10	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	1.0	1.0	9.0	[]	110.366486	111.85827	[]	112.36594	113.848976	[]	117.32667	118.81958	3	118.86452	[['3', 118.86451480002142]]	--
11	0	7	3	1	1	1	2	1	0	0	0	5	2	1	1	31102.0	1.0	10.0	[]	122.29898	123.78423	[]	124.29755	125.77894	[]	129.26129	130.75024	3	130.16368	[['3', 130.16367939999327]]	--
12	0	4	2	1	0	1	7	3	1	1	1	1	0	0	1	21310.0	1.0	11.0	[]	134.2361	135.71835	[]	136.221	137.70905	[]	141.1932	142.67886	3	141.97661	[['3', 141.97660970012657]]	--
13	0	0	0	0	0	0	5	2	1	1	0	1	0	0	1	200.0	1.0	12.0	[]	146.16232	147.64883	[]	148.15158	149.63773	[]	153.12856	154.60915	2	154.0085	[['2', 154.00850580004044]]	--
14	0	0	0	0	0	0	6	3	1	0	1	0	0	0	0	310.0	1.0	13.0	[]	158.09218	159.57893	[]	160.08424	161.56973	[]	165.05133	166.53925	3	165.84492	[['3', 165.8449296001345]]	--
15	0	2	1	0	0	0	2	1	0	0	0	5	2	1	1	10102.0	1.0	14.0	[]	170.02565	171.5085	[]	172.00746	173.49942	[]	176.97534	178.4676	3	177.83989	[['3', 177.83989060018212]]	--
16	0	7	3	1	1	1	3	1	0	1	1	4	2	1	0	31112.0	1.0	15.0	[]	181.95781	183.4394	[]	183.94139	185.4243	[]	188.9159	190.3992	2	189.90059	[['2', 189.90059039997868]]	--
17	0	3	1	0	1	0	7	3	1	1	1	4	2	1	0	10312.0	1.0	16.0	[]	193.88232	195.36931	[]	195.87505	197.35841	[]	200.84106	202.32886	3	201.57838	[['3', 201.57839110004716]]	--
18	1	2	1	0	0	0	0	0	0	0	0	7	3	1	1	110003.0	1.0	17.0	[]	205.8145	207.29915	[]	207.80273	209.28789	[]	212.77022	214.25916	3	213.62793	[['3', 213.62793140020221]]	--
19	1	4	2	1	0	1	0	0	0	0	0	3	1	0	1	121001.0	1.0	18.0	[]	217.74583	219.22823	[]	219.72981	221.2191	[]	224.70592	226.188	3	225.44537	[['3', 225.44536710018292]]	--
20	1	3	1	0	1	0	7	3	1	1	1	6	3	1	0	110313.0	1.0	19.0	[]	229.66725	231.15915	[]	231.66089	233.14906	[]	236.6343	238.11978	3	237.50783	[['3', 237.50782020017505]]	241.52849380020052
