TrialNumber	stim1	objmod1	loc1	stim2	objmod2	loc2	action	ref1	ref2	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset
1	4	0	1	7	7	1	True	4	7	1.0	0.0	[]	6.000044	7.491401	[]	11.474871	12.957789
2	7	7	1	1	5	0	False	7	1	1.0	1.0	[]	16.94374	18.424734	[]	22.409756	23.901287
3	2	2	0	5	5	1	False	2	5	1.0	2.0	[]	27.877085	29.367456	[]	33.351387	34.834595
4	1	5	0	1	5	0	True	1	1	1.0	3.0	[]	38.818672	40.310627	[]	44.29523	45.777725
5	7	3	1	4	4	1	True	7	4	1.0	4.0	[]	49.760475	51.244617	[]	55.232525	56.718777
6	7	3	1	7	3	1	True	7	7	1.0	5.0	[]	60.700264	62.18632	[]	66.16964	67.657906
7	5	5	1	1	1	0	False	5	1	1.0	6.0	[]	71.6471	73.12647	[]	77.10978	78.598724
8	2	2	0	4	4	1	False	2	4	1.0	7.0	[]	82.58301	84.069115	[]	88.045845	89.534386
9	1	1	0	4	4	1	False	1	4	0.0	--	--	--	--	--	--	--
10	0	4	0	6	6	1	False	0	6	0.0	--	--	--	--	--	--	--
11	7	7	1	0	0	0	False	7	0	0.0	--	--	--	--	--	--	--
12	1	5	0	0	0	0	True	1	0	0.0	--	--	--	--	--	--	--
13	4	0	1	3	7	0	False	4	3	0.0	--	--	--	--	--	--	--
14	7	7	1	5	1	1	True	7	5	0.0	--	--	--	--	--	--	--
15	3	3	0	2	6	0	True	3	2	0.0	--	--	--	--	--	--	--
16	3	7	0	5	1	1	False	3	5	0.0	--	--	--	--	--	--	--
