TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	1	4	2	1	0	0	7	3	1	1	1	7	3	1	1	1	0	0	0	0	1	0	0	0	0	1	2	1	0	0	120313101011.0	12_03,03_13,13_10,10_10,10_11	1.0	0.0	[]	3.0033476	4.486374	[]	6.2362375	7.718467	3	6.938317	[['3', 6.9383168001659214]]	[]	11.201435	12.686356	3	11.954987	[['3', 11.954986299853772]]	[]	16.173613	17.659676	2	17.027918	[['2', 17.027917500119656]]	[]	21.141436	22.628319	2	21.8555	[['2', 21.855499600060284]]	[]	26.108171	27.598951	2	26.75362	[['2', 26.75362090021372]]
2	0	2	1	0	0	1	1	0	0	1	0	2	1	0	0	1	3	1	0	1	0	2	1	0	0	1	4	2	1	0	11001110112.0	01_10,10_01,01_11,11_01,01_12	1.0	1.0	[]	32.337257	33.816917	[]	35.55999	37.048218	3	36.322937	[['3', 36.32293580006808]]	[]	40.53031	42.019535	3	41.256374	[['3', 41.25637450022623]]	[]	45.504784	46.98903	3	46.50744	[['3', 46.50743900006637]]	[]	50.47157	51.95704	3	51.13177	[['3', 51.13177079986781]]	[]	55.440952	56.92945	3	56.25773	[['3', 56.25772690027952]]
3	0	7	3	1	1	0	5	2	1	1	1	0	0	0	0	0	4	2	1	0	1	2	1	0	0	0	5	2	1	1	30210021102.0	03_02,02_10,10_02,02_11,11_02	1.0	2.0	[]	61.663433	63.1481	[]	64.88946	66.37422	2	65.53718	[['2', 65.53718140022829]]	[]	69.8575	71.34871	3	70.78777	[['3', 70.7877731998451]]	[]	74.83072	76.31709	3	75.84748	[['3', 75.84748269990087]]	[]	79.80308	81.28988	3	80.47809	[['3', 80.47808740008622]]	[]	84.76542	86.25928	3	85.34958	[['3', 85.34958110004663]]
4	1	2	1	0	0	0	0	0	0	0	1	5	2	1	1	0	0	0	0	0	1	7	3	1	1	0	3	1	0	1	110012001301.0	11_00,00_12,12_00,00_13,13_01	1.0	3.0	[]	90.99248	92.47413	[]	94.21981	95.709236	3	94.83701	[['3', 94.83700980013236]]	[]	99.192795	100.67796	3	99.86091	[['3', 99.86091150017455]]	[]	104.15963	105.64895	3	104.93851	[['3', 104.93850579997525]]	[]	109.1349	110.61895	3	109.98333	[['3', 109.98333329986781]]	[]	114.10131	115.58912	3	114.70946	[['3', 114.70945860026404]]
5	0	5	2	1	1	1	5	2	1	1	0	4	2	1	0	1	7	3	1	1	0	7	3	1	1	0	7	3	1	1	21202130303.0	02_12,12_02,02_13,13_03,03_03	1.0	4.0	[]	120.32688	121.80744	[]	123.55043	125.03956	3	123.96082	[['3', 123.96082579996437]]	[]	128.52042	130.0086	3	129.11732	[['3', 129.1173172001727]]	[]	133.49402	134.9797	3	134.1759	[['3', 134.17589910002425]]	[]	138.46107	139.94803	3	139.1097	[['3', 139.10969140008092]]	[]	143.43495	144.9188	2	144.24094	[['2', 144.24093910027295]]
6	0	3	1	0	1	0	2	1	0	0	0	4	2	1	0	0	2	1	0	0	0	7	3	1	1	0	3	1	0	1	10102010301.0	01_01,01_02,02_01,01_03,03_01	1.0	5.0	[]	149.65308	151.13863	[]	152.88179	154.36699	2	153.48877	[['2', 153.48877169983461]]	[]	157.84804	159.33525	2	158.52164	[['2', 158.52163620013744]]	[]	162.81512	164.30913	2	163.46558	[['2', 163.4655698002316]]	[]	167.79474	169.2782	2	168.40405	[['2', 168.40404770011082]]	[]	172.76228	174.24452	2	173.37514	[['2', 173.37513010017574]]
7	0	1	0	0	1	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	5	2	1	1	0	1	0	0	1	1000200.0	00_00,00_01,01_00,00_02,02_00	1.0	6.0	[]	178.98395	180.46725	[]	182.20923	183.6945	2	182.91151	[['2', 182.9115098998882]]	[]	187.18513	188.66412	2	187.86147	[['2', 187.8614717000164]]	[]	192.15051	193.63916	2	192.82587	[['2', 192.82586849993095]]	[]	197.12302	198.60857	2	197.93071	[['2', 197.93070509983227]]	[]	202.09184	203.58086	2	202.77975	[['2', 202.7797567001544]]
8	0	6	3	1	0	1	0	0	0	0	0	7	3	1	1	1	2	1	0	0	0	7	3	1	1	1	5	2	1	1	31003110312.0	03_10,10_03,03_11,11_03,03_12	1.0	7.0	[]	208.318	209.7983	[]	211.54164	213.02638	3	212.18802	[['3', 212.18802020000294]]	[]	216.51714	217.99814	3	217.27396	[['3', 217.27396190026775]]	[]	221.48134	222.96729	3	222.28746	[['3', 222.28745609987527]]	[]	226.45462	227.9386	3	227.04918	[['3', 227.04917749995366]]	[]	231.421	232.90927	3	232.14453	[['3', 232.14453179994598]]
9	0	1	0	0	1	0	6	3	1	0	0	1	0	0	1	1	1	0	0	1	0	0	0	0	0	1	2	1	0	0	300100011.0	00_03,03_00,00_10,10_00,00_11	1.0	8.0	[]	237.63992	239.12845	[]	240.87263	242.35948	2	241.96739	[['2', 241.9673864999786]]	[]	245.8381	247.32855	2	246.51529	[['2', 246.5152823999524]]	[]	250.81432	252.3011	3	251.23035	[['3', 251.23034249991179]]	[]	255.78072	257.26724	3	256.29236	[['3', 256.29235700005665]]	[]	260.7547	262.23898	3	261.50244	[['3', 261.50244199996814]]
10	1	4	2	1	0	0	3	1	0	1	1	7	3	1	1	0	5	2	1	1	0	4	2	1	0	0	6	3	1	0	120113020203.0	12_01,01_13,13_02,02_02,02_03	1.0	9.0	[]	266.97293	268.45447	[]	270.20468	271.68906	3	270.92902	[['3', 270.9290149998851]]	[]	275.1721	276.6544	3	275.9282	[['3', 275.9281919999048]]	[]	280.1432	281.6265	3	280.70114	[['3', 280.7011489998549]]	[]	285.1126	286.5976	2	285.66556	[['2', 285.6655707000755]]	[]	290.08087	291.56842	2	290.7359	[['2', 290.73589689983055]]
