TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	4	2	1	0	1	0	0	0	0	0	4	2	1	0	1	2	1	0	0	0	5	2	1	1	1	5	2	1	1	21002110212.0	02_10,10_02,02_11,11_02,02_12	1.0	0.0	[]	2.9981065	4.489409	[]	6.236088	7.717884	3	6.900753	[['3', 6.900752999819815]]	[]	11.196216	12.686132	3	11.804908	[['3', 11.804908100049943]]	[]	16.172037	17.658628	3	16.79638	[['3', 16.796379199717194]]	[]	21.139793	22.62984	3	21.969637	[['3', 21.96963719977066]]	[]	26.115862	27.5982	2	26.803333	[['2', 26.80333389993757]]
2	1	1	0	0	1	0	3	1	0	1	1	3	1	0	1	0	3	1	0	1	1	5	2	1	1	0	2	1	0	0	100111011201.0	10_01,01_11,11_01,01_12,12_01	1.0	1.0	[]	32.33366	33.81443	[]	35.5649	37.048237	2	36.183918	[['2', 36.183918999973685]]	[]	40.53031	42.019436	2	41.059483	[['2', 41.05948129994795]]	[]	45.495193	46.98802	2	46.175014	[['2', 46.17501389980316]]	[]	50.471302	51.958843	3	51.052856	[['3', 51.05285489978269]]	[]	55.43919	56.929047	2	56.375896	[['2', 56.37589729996398]]
3	0	1	0	0	1	1	5	2	1	1	0	1	0	0	1	1	6	3	1	0	0	2	1	0	0	0	3	1	0	1	1200130101.0	00_12,12_00,00_13,13_01,01_01	1.0	2.0	[]	61.665325	63.14865	[]	64.8915	66.37532	3	65.53672	[['3', 65.53672190010548]]	[]	69.86469	71.34994	3	70.6005	[['3', 70.6005008998327]]	[]	74.830666	76.31822	3	75.53201	[['3', 75.53201500000432]]	[]	79.80379	81.288895	3	80.67221	[['3', 80.67220859974623]]	[]	84.76734	86.25482	2	85.59946	[['2', 85.59945569979027]]
4	0	2	1	0	0	1	7	3	1	1	0	4	2	1	0	0	4	2	1	0	0	6	3	1	0	0	5	2	1	1	11302020302.0	01_13,13_02,02_02,02_03,03_02	1.0	3.0	[]	90.98859	92.47899	[]	94.22181	95.706856	3	94.909325	[['3', 94.90932739991695]]	[]	99.19132	100.67897	2	99.7153	[['2', 99.71530289994553]]	[]	104.16449	105.64966	2	104.82819	[['2', 104.82819509971887]]	[]	109.13011	110.6197	2	109.80377	[['2', 109.80376840010285]]	[]	114.095345	115.58804	2	114.79569	[['2', 114.795689499937]]
5	1	5	2	1	1	0	4	2	1	0	1	6	3	1	0	0	6	3	1	0	0	7	3	1	1	1	0	0	0	0	120213030310.0	12_02,02_13,13_03,03_03,03_10	1.0	4.0	[]	120.32645	121.808014	[]	123.5497	125.03819	2	124.63043	[['2', 124.63043319992721]]	[]	128.5253	130.0079	2	129.1481	[['2', 129.14810180012137]]	[]	133.4901	134.97964	2	134.1318	[['2', 134.13179929973558]]	[]	138.45866	139.94864	2	139.24213	[['2', 139.2421333999373]]	[]	143.43579	144.9198	3	144.22002	[['3', 144.22000990016386]]
6	0	7	3	1	1	1	6	3	1	0	1	0	0	0	0	1	1	0	0	1	1	2	1	0	0	1	1	0	0	1	31310101110.0	03_13,13_10,10_10,10_11,11_10	1.0	5.0	[]	149.65163	151.13814	[]	152.88437	154.36833	2	153.43057	[['2', 153.43057810002938]]	[]	157.84709	159.3379	3	158.51477	[['3', 158.51477439980954]]	[]	162.82614	164.30516	2	163.49991	[['2', 163.4999029999599]]	[]	167.79161	169.27846	2	168.4026	[['2', 168.40259750001132]]	[]	172.7601	174.24922	2	173.4257	[['2', 173.42571139987558]]
7	1	0	0	0	0	0	7	3	1	1	1	2	1	0	0	0	6	3	1	0	1	4	2	1	0	0	6	3	1	0	100311031203.0	10_03,03_11,11_03,03_12,12_03	1.0	6.0	[]	178.98692	180.46913	[]	182.21164	183.69691	3	182.90419	[['3', 182.90419579995796]]	[]	187.1798	188.66962	3	188.50417	[['3', 188.50417259987444]]	[]	192.14987	193.63818	3	193.24554	[['3', 193.2455433998257]]	[]	197.1257	198.60764	2	198.00209	[['2', 198.00209739990532]]	[]	202.09193	203.5796	2	202.94745	[['2', 202.94744430016726]]
8	0	6	3	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	30010001100.0	03_00,00_10,10_00,00_11,11_00	1.0	7.0	[]	208.31194	209.79866	[]	211.54245	213.02946	3	212.28758	[['3', 212.28757929988205]]	[]	216.51195	217.99673	2	217.24695	[['2', 217.24695080006495]]	[]	221.47993	222.96883	2	222.15575	[['2', 222.15574029972777]]	[]	226.45085	227.93825	2	227.38702	[['2', 227.38703029975295]]	[]	231.42358	232.90941	2	232.10393	[['2', 232.1039217999205]]
9	0	3	1	0	1	0	4	2	1	0	0	3	1	0	1	0	6	3	1	0	0	3	1	0	1	1	0	0	0	0	10201030110.0	01_02,02_01,01_03,03_01,01_10	1.0	8.0	[]	237.64642	239.12799	[]	240.86983	242.35933	3	241.5727	[['3', 241.57268550014123]]	[]	245.84541	247.32805	3	246.60698	[['3', 246.60698659997433]]	[]	250.81122	252.30127	3	251.38644	[['3', 251.3864432000555]]	[]	255.78543	257.26895	3	256.55765	[['3', 256.55763419996947]]	[]	260.7465	262.23846	2	261.6505	[['2', 261.6505215000361]]
10	0	1	0	0	1	0	3	1	0	1	0	0	0	0	0	0	4	2	1	0	0	1	0	0	1	0	7	3	1	1	100020003.0	00_01,01_00,00_02,02_00,00_03	1.0	9.0	[]	266.9719	268.4568	[]	270.20544	271.6882	2	270.81848	[['2', 270.8184932000004]]	[]	275.17133	276.657	2	275.7343	[['2', 275.73430879972875]]	[]	280.14218	281.62585	3	280.81427	[['3', 280.8142749001272]]	[]	285.11276	286.59656	3	286.08704	[['3', 286.08702090010047]]	[]	290.08755	291.5692	3	290.6858	[['3', 290.6857885001227]]
