TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	0.0	[]	2.9964309	4.4885926	[]	6.234137	7.7184963	[]	11.198752	12.688517	2	11.862342	[['2', 11.86234200000763]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	1.0	[]	17.427887	18.908907	[]	20.651333	22.138351	[]	25.625427	27.109121	3	26.179455	[['3', 26.17945530032739]]
3	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	2.0	[]	31.843395	33.32832	[]	35.074074	36.55969	[]	40.036335	41.528923	2	40.87789	[['2', 40.877891100011766]]
4	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	3.0	[]	46.263363	47.74419	[]	49.494736	50.97842	[]	54.4624	55.949196	2	55.228302	[['2', 55.22830320009962]]
5	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	4.0	[]	60.684425	62.169125	[]	63.911438	65.396965	[]	68.8799	70.368744	2	69.481026	[['2', 69.48102409997955]]
6	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	5.0	[]	75.104065	76.58444	[]	78.331474	79.81826	[]	83.30449	84.78759	3	84.11848	[['3', 84.11847610026598]]
7	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	6.0	[]	89.523445	91.008896	[]	92.75333	94.23888	[]	97.72068	99.20909	2	98.31919	[['2', 98.31919160019606]]
8	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	7.0	[]	103.94242	105.428635	[]	107.1748	108.659355	[]	112.14401	113.628815	3	112.89574	[['3', 112.89573450013995]]
9	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	8.0	[]	118.36738	119.84434	[]	121.59086	123.07866	[]	126.55244	128.04346	3	127.26057	[['3', 127.26056850003079]]
10	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	9.0	[]	132.78448	134.26918	[]	136.01097	137.49432	[]	140.98169	142.46933	2	141.58823	[['2', 141.58822860009968]]
11	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	10.0	[]	147.20348	148.6844	[]	150.43098	151.91835	[]	155.40155	156.88437	3	156.25354	[['3', 156.2535424004309]]
12	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	11.0	[]	161.62057	163.10892	[]	164.85536	166.33435	[]	169.82054	171.3088	3	170.54742	[['3', 170.54742180043831]]
13	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	12.0	[]	176.04674	177.52872	[]	179.27057	180.75839	[]	184.24359	185.72887	2	185.24536	[['2', 185.2453674999997]]
