TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	0.0	[]	3.0023737	4.4862485	[]	6.2294803	7.716868	[]	11.200051	12.689137	2	11.814076	[['2', 11.814076400361955]]
2	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	1.0	[]	17.424389	18.908579	[]	20.653692	22.13915	[]	25.620762	27.10778	3	26.497726	[['3', 26.497727000154555]]
3	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	2.0	[]	31.846256	33.329525	[]	35.071728	36.55746	[]	40.04486	41.529648	2	40.64363	[['2', 40.643629299942404]]
4	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	3.0	[]	46.263973	47.748325	[]	49.49028	50.97933	[]	54.46645	55.948242	3	55.301952	[['3', 55.30195350013673]]
5	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	60.68201	62.16446	[]	63.914047	65.39829	[]	68.88058	70.364655	3	69.54204	[['3', 69.54203610029072]]
6	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	5.0	[]	75.10667	76.58841	[]	78.33147	79.81521	[]	83.29986	84.788536	3	84.0605	[['3', 84.06049920013174]]
7	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	6.0	[]	89.522606	91.00788	[]	92.75014	94.23908	[]	97.72415	99.2101	3	98.51595	[['3', 98.51595250004902]]
8	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	7.0	[]	103.94291	105.42921	[]	107.17365	108.658	[]	112.14293	113.62899	3	112.79041	[['3', 112.79041220014915]]
9	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	8.0	[]	118.366325	119.8486	[]	121.5907	123.07885	[]	126.559555	128.04874	3	127.41438	[['3', 127.41438620025292]]
10	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	9.0	[]	132.78642	134.26804	[]	136.0057	137.49841	[]	140.98517	142.46423	2	141.73369	[['2', 141.73369339993224]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.20262	148.68842	[]	150.43527	151.91797	[]	155.39644	156.88834	3	156.0599	[['3', 156.05990929994732]]
12	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	11.0	[]	161.62343	163.10431	[]	164.85168	166.33835	[]	169.82297	171.30429	3	170.62958	[['3', 170.62957780016586]]
13	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	12.0	[]	176.04385	177.52847	[]	179.27138	180.75717	[]	184.2388	185.72824	3	185.41931	[['3', 185.4193176003173]]
