TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	0.0	[]	3.0009837	4.490775	[]	6.2349343	7.7198777	[]	11.196483	12.68842	3	11.977135	[['3', 11.977134500164539]]
2	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	1.0	[]	17.421392	18.904219	[]	20.651	22.138283	[]	25.620577	27.104225	2	26.329435	[['2', 26.3294343999587]]
3	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	2.0	[]	31.846418	33.328968	[]	35.07056	36.558384	[]	40.040718	41.52905	3	40.748196	[['3', 40.748194800224155]]
4	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	3.0	[]	46.26288	47.744312	[]	49.488903	50.978523	[]	54.461777	55.944267	2	55.453865	[['2', 55.453866800293326]]
5	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	60.686935	62.16904	[]	63.91211	65.397125	[]	68.87956	70.36405	3	69.545296	[['3', 69.5452987998724]]
6	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	5.0	[]	75.10387	76.58851	[]	78.33042	79.8188	[]	83.305016	84.78824	2	84.08576	[['2', 84.08576510008425]]
7	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	6.0	[]	89.523926	91.00773	[]	92.74522	94.23822	[]	97.724945	99.20774	3	98.41545	[['3', 98.41545380000025]]
8	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	7.0	[]	103.94323	105.42968	[]	107.171844	108.656166	[]	112.14167	113.62898	3	112.68969	[['3', 112.68969250004739]]
9	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	8.0	[]	118.36542	119.84974	[]	121.58608	123.07811	[]	126.56036	128.04941	3	127.45392	[['3', 127.45391790010035]]
10	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	9.0	[]	132.78624	134.26903	[]	136.01042	137.49857	[]	140.98355	142.46901	3	141.6776	[['3', 141.6775981001556]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.2022	148.68834	[]	150.43004	151.92	[]	155.39632	156.88815	3	155.9908	[['3', 155.99079370032996]]
12	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	11.0	[]	161.62097	163.10817	[]	164.84956	166.34076	[]	169.82323	171.30696	3	170.3516	[['3', 170.3515862999484]]
13	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	12.0	[]	176.04555	177.52898	[]	179.27129	180.75693	[]	184.24268	185.72911	3	184.75214	[['3', 184.7521375999786]]
