TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	0.0	[]	3.002824	4.488135	[]	6.2323866	7.718952	[]	11.205411	12.688438	2	11.922776	[['2', 11.922775799874216]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	1.0	[]	17.423231	18.907837	[]	20.652819	22.139545	[]	25.616302	27.107409	3	26.376186	[['3', 26.37618689984083]]
3	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	2.0	[]	31.845427	33.329395	[]	35.066288	36.557888	[]	40.04502	41.52891	3	40.84528	[['3', 40.845279899891466]]
4	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	3.0	[]	46.26354	47.749054	[]	49.490166	50.97771	[]	54.466103	55.949688	2	55.069798	[['2', 55.06979649979621]]
5	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	4.0	[]	60.680103	62.167225	[]	63.91099	65.39963	[]	68.881935	70.36534	2	69.58843	[['2', 69.58843499980867]]
6	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	5.0	[]	75.10068	76.58838	[]	78.333565	79.81902	[]	83.29966	84.788475	3	84.05568	[['3', 84.05567969987169]]
7	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	6.0	[]	89.52775	91.00786	[]	92.75	94.239655	[]	97.72571	99.20815	3	98.664185	[['3', 98.6641826000996]]
8	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	7.0	[]	103.94296	105.42847	[]	107.171265	108.65811	[]	112.143715	113.62843	3	112.83455	[['3', 112.83454649988562]]
9	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	8.0	[]	118.36307	119.84861	[]	121.59503	123.079025	[]	126.56117	128.04834	3	127.47018	[['3', 127.47017649980262]]
10	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	9.0	[]	132.78716	134.26747	[]	136.00786	137.49876	[]	140.97954	142.4693	2	141.88033	[['2', 141.88032749993727]]
11	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	10.0	[]	147.20631	148.68887	[]	150.43054	151.91971	[]	155.39868	156.88881	3	156.12904	[['3', 156.12903840001673]]
12	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	11.0	[]	161.62338	163.10793	[]	164.85278	166.33965	[]	169.82425	171.30817	3	170.49515	[['3', 170.49514180002734]]
13	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	12.0	[]	176.04138	177.52832	[]	179.27475	180.75816	[]	184.24072	185.72842	2	185.42564	[['2', 185.4256504997611]]
