TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1
1	1	0	1	0	0	1	0	0	0	0	1110.0	1.0	0.0	[]	2.9974124	4.486539	[]	6.2261806	7.716553	2	9.276041	[['2', 7.167025166680105], ['2', 8.785622666648123], ['2', 9.276041166682262]]
2	1	4	2	1	0	0	4	2	1	0	1202.0	1.0	1.0	[]	12.444655	13.936715	[]	15.675959	17.166838	3	17.830505	[['3', 17.830505666672252]]
3	0	5	2	1	1	0	2	1	0	0	201.0	1.0	2.0	[]	21.894	23.386572	[]	25.126167	26.616072	3	25.978231	[['3', 25.978230583306868]]
4	0	4	2	1	0	0	1	0	0	1	200.0	1.0	3.0	[]	31.34409	32.83655	[]	34.57628	36.066917	3	35.450134	[['3', 35.450135249993764]]
5	0	7	3	1	1	1	1	0	0	1	310.0	1.0	4.0	[]	40.79363	42.286686	[]	44.02626	45.516537	3	44.644493	[['3', 44.644494791689795]]
6	1	5	2	1	1	1	7	3	1	1	1213.0	1.0	5.0	[]	50.24435	51.736404	[]	53.476147	54.966755	2	54.23033	[['2', 54.23033329163445]]
7	0	4	2	1	0	1	3	1	0	1	211.0	1.0	6.0	[]	59.69402	61.18686	[]	62.925888	64.41653	3	64.43703	[['3', 64.43702499999199]]
8	1	7	3	1	1	1	5	2	1	1	1312.0	1.0	7.0	[]	69.14363	70.63652	[]	72.37622	73.86699	2	76.062584	[['3', 74.09710216667736], ['2', 74.92680754163302], ['2', 76.06258687499212]]
9	0	6	3	1	0	0	7	3	1	1	303.0	1.0	8.0	[]	78.59401	80.08729	[]	81.826126	83.31726	2	82.79024	[['2', 82.79023729165783]]
10	0	5	2	1	1	1	4	2	1	0	212.0	1.0	9.0	[]	88.04399	89.53619	[]	91.27631	92.77042	--	--	--
11	0	4	2	1	0	1	6	3	1	0	213.0	1.0	10.0	[]	97.49367	98.98844	[]	100.72873	102.21956	--	--	--
