TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1
1	1	3	1	0	1	1	0	0	0	0	1110.0	1.0	0.0	[]	2.9939756	4.486623	[]	6.2239766	7.716074	2	7.410778	[['2', 7.410777999961283]]
2	1	4	2	1	0	0	4	2	1	0	1202.0	1.0	1.0	[]	12.44645	13.939277	[]	15.675742	17.168528	3	16.75196	[['3', 16.75196079997113]]
3	0	5	2	1	1	0	2	1	0	0	201.0	1.0	2.0	[]	21.89863	23.384562	[]	25.128222	26.614115	3	28.00921	[['3', 28.009210299991537]]
4	0	4	2	1	0	0	1	0	0	1	200.0	1.0	3.0	[]	31.344156	32.83707	[]	34.573948	36.06649	3	35.607513	[['3', 35.60751219996018]]
5	0	7	3	1	1	1	1	0	0	1	310.0	1.0	4.0	[]	40.796772	42.28262	[]	44.02627	45.519054	3	45.583057	[['3', 45.58305809996091]]
6	1	5	2	1	1	1	7	3	1	1	1213.0	1.0	5.0	[]	50.249065	51.782173	[]	53.478916	54.96495	2	54.988064	[['2', 54.98806569998851]]
7	0	4	2	1	0	1	3	1	0	1	211.0	1.0	6.0	[]	59.69457	61.187702	[]	62.923958	64.41726	3	64.08835	[['3', 64.08834639994893]]
8	1	7	3	1	1	1	5	2	1	1	1312.0	1.0	7.0	[]	69.14714	70.6331	[]	72.37654	73.8626	2	73.53435	[['2', 73.5343471999513]]
9	0	6	3	1	0	0	7	3	1	1	303.0	1.0	8.0	[]	78.59984	80.08575	[]	81.829025	83.315285	2	84.11999	[['2', 84.1199912999873]]
10	0	5	2	1	1	1	4	2	1	0	212.0	1.0	9.0	[]	88.04559	89.538376	[]	91.27477	92.76774	3	92.094666	[['3', 92.09466800000519]]
11	0	4	2	1	0	1	6	3	1	0	213.0	1.0	10.0	[]	97.49779	98.98372	[]	100.7278	102.21319	3	101.955	[['3', 101.95500299998093]]
