TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	late_responses_3	stimulus_3_onset	stimulus_3_offset	late_responses_4	stimulus_4_onset	stimulus_4_offset
1	1	2	1	0	0	0	2	1	0	0	0	3	1	0	1	0	3	1	0	1	1	1	0	0	1	1101010110.0	1.0	0.0	[]	2.99806	4.4950957	[]	6.226729	7.7170196	[]	9.456141	10.952085	[]	14.428053	15.918194	[]	19.397804	20.888334
2	0	0	0	0	0	0	3	1	0	1	0	7	3	1	1	0	2	1	0	0	1	7	3	1	1	1030113.0	1.0	1.0	[]	25.614086	27.10696	[]	28.846977	30.33677	[]	32.077637	33.56709	[]	37.04773	38.53805	[]	42.017612	43.50761
3	0	0	3	1	0	0	0	2	1	0	1	0	3	1	0	0	0	2	1	0	0	0	0	0	0	302130200.0	1.0	2.0	[]	48.235138	49.727005	[]	51.46662	52.95689	[]	54.6963	56.188526	[]	59.66649	61.156403	[]	64.63964	66.128
4	0	2	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	4	2	1	0	100000012.0	1.0	3.0	[]	70.854034	72.351	[]	74.088	75.57652	[]	77.318375	78.81626	[]	82.28652	83.77752	[]	87.25769	88.74753
5	0	0	0	0	0	1	0	0	0	0	1	4	2	1	0	0	4	2	1	0	1	3	1	0	1	10120211.0	1.0	4.0	[]	93.474	94.96669	[]	96.70644	98.19702	[]	99.93771	101.42731	[]	104.906845	106.397804	[]	109.878815	111.37336
6	1	0	0	0	0	0	3	1	0	1	1	7	3	1	1	1	5	2	1	1	0	6	3	1	0	1001131203.0	1.0	5.0	[]	116.093994	117.58838	[]	119.32657	120.81692	[]	122.55639	124.047	[]	127.52689	129.01709	[]	132.49646	133.98724
7	0	3	1	0	1	1	7	3	1	1	1	6	3	1	0	1	6	3	1	0	1	0	0	0	0	113131310.0	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
8	1	6	3	1	0	0	7	3	1	1	0	2	1	0	0	0	1	0	0	1	1	7	3	1	1	1303010013.0	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
9	1	6	3	1	0	0	0	0	0	0	1	5	2	1	1	1	5	2	1	1	1	6	3	1	0	1300121213.0	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
10	0	3	1	0	1	1	3	1	0	1	1	7	3	1	1	0	3	1	0	1	1	7	3	1	1	111130113.0	0.0	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--	--
