TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1
1	1	0	1	0	0	1	0	0	0	0	1110.0	1.0	0.0	[]	2.9975245	4.486702	[]	6.226595	7.7169394	3	8.827796	[['3', 8.827795624965802]]
2	1	4	2	1	0	0	4	2	1	0	1202.0	1.0	1.0	[]	12.443838	13.936306	[]	15.676414	17.166931	3	16.976522	[['3', 16.97652295837179]]
3	0	5	2	1	1	0	2	1	0	0	201.0	1.0	2.0	[]	21.894308	23.386465	[]	25.126122	26.61681	3	26.02097	[['3', 26.020968666649424]]
4	0	4	2	1	0	0	1	0	0	1	200.0	1.0	3.0	[]	31.343826	32.837265	[]	34.576107	36.0666	3	35.429707	[['3', 35.42970724997576]]
5	0	7	3	1	1	1	1	0	0	1	310.0	1.0	4.0	[]	40.793995	42.28695	[]	44.02628	45.517212	3	45.171265	[['3', 45.17126541666221]]
6	1	5	2	1	1	1	7	3	1	1	1213.0	1.0	5.0	[]	50.243958	51.736935	[]	53.476177	54.966908	2	55.348907	[['2', 55.348909208376426]]
7	0	4	2	1	0	1	3	1	0	1	211.0	1.0	6.0	[]	59.694035	61.189995	[]	62.926228	64.41661	3	63.599606	[['3', 63.59960620832862]]
8	1	7	3	1	1	1	5	2	1	1	1312.0	1.0	7.0	[]	69.14402	70.63693	[]	72.37649	73.867455	2	73.67772	[['2', 73.6777224583202]]
9	0	6	3	1	0	0	7	3	1	1	303.0	1.0	8.0	[]	78.59367	80.08664	[]	81.82664	83.31742	2	82.883354	[['2', 82.8833560833591]]
10	0	5	2	1	1	1	4	2	1	0	212.0	1.0	9.0	['3']	88.04414	89.53669	[]	91.27743	92.76774	3	92.17326	[['3', 92.1732622916461]]
11	0	4	2	1	0	1	6	3	1	0	213.0	1.0	10.0	[]	97.49362	98.98678	[]	100.7263	102.21687	2	101.592445	[['2', 101.59244262496941]]
