TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	late_responses_3	stimulus_3_onset	stimulus_3_offset	late_responses_4	stimulus_4_onset	stimulus_4_offset
1	1	2	1	0	0	1	7	3	1	1	1	1	0	0	1	0	1	0	0	1	0	1	0	0	1	1113100000.0	1.0	0.0	[]	2.9940996	4.4867296	[]	6.223357	7.716318	[]	11.19614	12.689295	[]	16.168903	17.654943	[]	21.135372	22.627855
2	0	7	3	1	1	0	0	0	0	0	0	3	1	0	1	0	5	2	1	1	0	7	3	1	1	300010203.0	1.0	1.0	[]	27.357649	28.843737	[]	30.587446	32.073154	[]	35.552982	37.046066	[]	40.52568	42.0191	[]	45.49902	46.984814
3	1	4	2	1	0	0	2	1	0	0	1	1	0	0	1	1	3	1	0	1	1	0	0	0	0	1201101110.0	1.0	2.0	[]	51.71455	53.20769	[]	54.94457	56.43716	[]	59.917007	61.403095	[]	64.88294	66.37594	[]	69.85618	71.34872
4	0	0	0	0	0	0	1	0	0	1	0	6	3	1	0	0	4	2	1	0	1	2	1	0	0	30211.0	1.0	3.0	[]	76.07847	77.56476	[]	79.30796	80.794205	[]	84.27446	85.767334	[]	89.24665	90.732704	[]	94.219894	95.70567
5	1	7	3	1	1	1	4	2	1	0	1	4	2	1	0	0	3	1	0	1	0	3	1	0	1	1312120101.0	1.0	4.0	[]	100.43593	101.92862	[]	103.66554	105.15814	[]	108.63797	110.12433	[]	113.60398	115.09687	[]	118.576546	120.06264
6	1	7	3	1	1	1	1	0	0	1	0	6	3	1	0	0	6	3	1	0	1	6	3	1	0	1310030313.0	1.0	5.0	[]	124.799835	126.285736	[]	128.0292	129.51515	[]	132.9949	134.48813	[]	137.96815	139.45384	[]	142.9336	144.42665
7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	7	3	1	1	10000103.0	1.0	6.0	[]	149.15668	150.64261	[]	152.38608	153.87912	[]	157.35869	158.84505	[]	162.32526	163.81778	[]	167.29773	168.78384
8	0	2	1	0	0	0	2	1	0	0	0	5	2	1	1	1	2	1	0	0	0	4	2	1	0	101021102.0	1.0	7.0	[]	173.51363	175.00655	[]	176.74294	178.23615	[]	181.71631	183.2089	[]	186.68938	188.17485	[]	191.65494	193.14761
9	1	5	2	1	1	0	7	3	1	1	0	4	2	1	0	1	4	2	1	0	1	2	1	0	0	1203021211.0	1.0	8.0	[]	197.87753	199.36374	[]	201.10687	202.59299	[]	206.07333	207.56589	[]	211.04568	212.53897	[]	216.01888	217.50462
10	0	5	2	1	1	0	3	1	0	1	0	4	2	1	0	0	2	1	0	0	0	5	2	1	1	201020102.0	1.0	9.0	[]	222.23485	223.72758	[]	225.46414	226.95724	[]	230.43745	231.92303	[]	235.4098	236.89569	[]	240.37566	241.86873
