TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	0.0	[]	2.9982536	4.4848003	[]	6.232737	7.7169404	[]	11.199787	12.684718	2	11.958898	[['2', 11.958897999953479]]
2	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	1.0	[]	17.42672	18.907145	[]	20.649342	22.134699	[]	25.625233	27.107124	3	26.30752	[['3', 26.30752079980448]]
3	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	2.0	[]	31.84165	33.329132	[]	35.07341	36.55459	[]	40.04165	41.5255	2	40.814587	[['2', 40.81458760006353]]
4	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	3.0	[]	46.267563	47.74755	[]	49.486687	50.979652	[]	54.465218	55.947594	3	55.349594	[['3', 55.34959470015019]]
5	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	60.68189	62.16909	[]	63.917725	65.39788	[]	68.88044	70.369865	3	69.762085	[['3', 69.76208359980956]]
6	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	5.0	[]	75.10352	76.584496	[]	78.33315	79.81444	[]	83.29925	84.784485	3	84.12872	[['3', 84.12872370006517]]
7	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	6.0	[]	89.527626	91.00501	[]	92.74701	94.2345	[]	97.717155	99.20517	3	98.386314	[['3', 98.38631370011717]]
8	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	7.0	[]	103.947	105.42919	[]	107.17084	108.65914	[]	112.144485	113.62962	3	112.65436	[['3', 112.65435909992084]]
9	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	8.0	[]	118.36241	119.84917	[]	121.595726	123.079895	[]	126.55603	128.0491	3	127.31352	[['3', 127.31352079985663]]
10	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	9.0	[]	132.78096	134.2686	[]	136.00938	137.49918	[]	140.98015	142.46854	2	142.08525	[['2', 142.08525379979983]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.20396	148.68823	[]	150.43037	151.91866	[]	155.403	156.88448	3	156.0469	[['3', 156.04690949991345]]
12	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	11.0	[]	161.622	163.10907	[]	164.85265	166.33449	[]	169.82016	171.30905	3	170.45184	[['3', 170.45184059999883]]
13	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	12.0	[]	176.04408	177.52815	[]	179.27429	180.75443	[]	184.24055	185.7295	3	184.86224	[['3', 184.8622400998138]]
