TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	0.0	[]	3.0030847	4.4881787	[]	6.230086	7.719765	[]	11.206382	12.688937	2	11.882368	[['2', 11.882368399761617]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	1.0	[]	17.423655	18.908615	[]	20.652962	22.137596	[]	25.619558	27.109009	3	26.261114	[['3', 26.261114099994302]]
3	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	2.0	[]	31.847319	33.327446	[]	35.069504	36.559376	[]	40.0449	41.527885	2	40.608887	[['2', 40.60888529988006]]
4	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	3.0	[]	46.264244	47.747753	[]	49.48892	50.97879	[]	54.465828	55.94669	2	55.04626	[['2', 55.046259299851954]]
5	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	4.0	[]	60.681248	62.16964	[]	63.916164	65.394295	[]	68.87754	70.36963	2	69.30505	[['2', 69.30505189998075]]
6	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	5.0	[]	75.10166	76.58727	[]	78.32899	79.819565	[]	83.295425	84.78897	2	83.8698	[['2', 83.86979309981689]]
7	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	6.0	[]	89.52843	91.0087	[]	92.751526	94.23915	[]	97.722694	99.20976	2	98.37473	[['2', 98.374732399825]]
8	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	7.0	[]	103.942795	105.428185	[]	107.17251	108.657005	[]	112.14301	113.62802	3	112.750336	[['3', 112.7503382996656]]
9	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	8.0	[]	118.36177	119.84905	[]	121.59636	123.07794	[]	126.560684	128.0492	3	127.34148	[['3', 127.3414784995839]]
10	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	9.0	[]	132.78667	134.27014	[]	136.01353	137.49475	[]	140.97977	142.46489	2	141.5422	[['2', 141.54220009967685]]
11	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	10.0	[]	147.20918	148.68811	[]	150.43011	151.91483	[]	155.40326	156.88803	3	156.0533	[['3', 156.05329359974712]]
12	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	11.0	[]	161.62216	163.10826	[]	164.8484	166.33951	[]	169.8215	171.3097	3	170.48676	[['3', 170.48675049981102]]
13	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	12.0	[]	176.04173	177.52809	[]	179.2744	180.75652	[]	184.2354	185.72818	2	184.78587	[['2', 184.78587049990892]]
