TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	0	0	0	0	1	5	2	1	1	0	1	0	0	1	1	6	3	1	0	0	2	1	0	0	0	2	1	0	0	1200130101.0	00_12,12_00,00_13,13_01,01_01	1.0	0.0	[]	3.005421	4.4892154	[]	6.230272	7.717401	3	7.01036	[['3', 7.0103596998378634]]	[]	11.204203	12.689433	3	11.913877	[['3', 11.913876200094819]]	[]	16.17179	17.660828	3	16.84401	[['3', 16.844008500222117]]	[]	21.146927	22.629047	3	22.026777	[['3', 22.026777199935168]]	[]	26.111252	27.59836	2	26.969233	[['2', 26.969232900068164]]
2	0	2	1	0	0	0	5	2	1	1	0	2	1	0	0	0	7	3	1	1	0	2	1	0	0	1	0	0	0	0	10201030110.0	01_02,02_01,01_03,03_01,01_10	1.0	1.0	[]	32.331894	33.818855	[]	35.560234	37.048008	3	36.158627	[['3', 36.158627999946475]]	[]	40.529663	42.018726	3	41.2544	[['3', 41.2543982998468]]	[]	45.500923	46.98435	3	46.79125	[['3', 46.79124710010365]]	[]	50.46891	51.95955	3	51.5611	[['3', 51.561099499929696]]	[]	55.442665	56.92723	2	56.026787	[['2', 56.026786600239575]]
3	0	1	0	0	1	0	3	1	0	1	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	7	3	1	1	100020003.0	00_01,01_00,00_02,02_00,00_03	1.0	2.0	[]	61.66248	63.14861	[]	64.89613	66.37904	2	65.53974	[['2', 65.53974170004949]]	[]	69.86042	71.348724	2	70.47705	[['2', 70.47705260012299]]	[]	74.83332	76.317696	3	75.41862	[['3', 75.41862090025097]]	[]	79.80089	81.28957	3	80.69094	[['3', 80.6909439000301]]	[]	84.77203	86.25856	3	85.40526	[['3', 85.40525670023635]]
4	0	2	1	0	0	1	6	3	1	0	0	5	2	1	1	0	4	2	1	0	0	7	3	1	1	0	5	2	1	1	11302020302.0	01_13,13_02,02_02,02_03,03_02	1.0	3.0	[]	90.99306	92.47433	[]	94.22529	95.70875	3	94.78838	[['3', 94.78838500007987]]	[]	99.19168	100.6792	2	99.850975	[['2', 99.85097349993885]]	[]	104.159996	105.64856	2	104.90815	[['2', 104.90815290017053]]	[]	109.13449	110.61958	2	109.81351	[['2', 109.81350529985502]]	[]	114.10122	115.58647	2	114.680046	[['2', 114.68004610016942]]
5	1	1	0	0	1	0	3	1	0	1	1	2	1	0	0	0	3	1	0	1	1	5	2	1	1	0	3	1	0	1	100111011201.0	10_01,01_11,11_01,01_12,12_01	1.0	4.0	[]	120.324905	121.80938	[]	123.55142	125.03425	2	124.16527	[['2', 124.1652651000768]]	[]	128.5198	130.0094	2	129.13756	[['2', 129.13755710003898]]	[]	133.49599	134.97873	2	134.22455	[['2', 134.22455260017887]]	[]	138.46188	139.94858	3	139.15332	[['3', 139.15331819979474]]	[]	143.43489	144.91783	3	144.4847	[['3', 144.4846915998496]]
6	0	5	2	1	1	1	0	0	0	0	0	4	2	1	0	1	2	1	0	0	0	5	2	1	1	1	5	2	1	1	21002110212.0	02_10,10_02,02_11,11_02,02_12	1.0	5.0	[]	149.65186	151.13918	[]	152.88661	154.36801	3	153.62642	[['3', 153.62641939986497]]	[]	157.85089	159.33884	3	158.8488	[['3', 158.84879590012133]]	[]	162.82072	164.30914	3	163.90901	[['3', 163.90901299985126]]	[]	167.79199	169.27846	3	168.68709	[['3', 168.68708050018176]]	[]	172.75963	174.24977	2	173.54367	[['2', 173.54366709990427]]
7	1	1	0	0	1	0	6	3	1	0	1	3	1	0	1	0	6	3	1	0	1	5	2	1	1	0	7	3	1	1	100311031203.0	10_03,03_11,11_03,03_12,12_03	1.0	6.0	[]	178.983	180.4678	[]	182.2164	183.69875	3	183.17792	[['3', 183.17791050020605]]	[]	187.18103	188.66443	3	188.05833	[['3', 188.05834140023217]]	[]	192.15092	193.63469	3	192.90877	[['3', 192.90877059986815]]	[]	197.11794	198.60744	2	197.99252	[['2', 197.9925203002058]]	[]	202.0896	203.5773	2	202.78941	[['2', 202.78940630005673]]
8	1	4	2	1	0	0	4	2	1	0	1	7	3	1	1	0	6	3	1	0	0	7	3	1	1	1	1	0	0	1	120213030310.0	12_02,02_13,13_03,03_03,03_10	1.0	7.0	[]	208.31691	209.79831	[]	211.54135	213.02684	2	212.3131	[['2', 212.31308919982985]]	[]	216.5087	217.99966	2	217.16925	[['2', 217.16925569996238]]	[]	221.48456	222.96803	2	222.18648	[['2', 222.1864753002301]]	[]	226.45093	227.93845	2	227.50056	[['2', 227.5005621998571]]	[]	231.41768	232.90897	3	232.47266	[['3', 232.4726493000053]]
9	0	7	3	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	30010001100.0	03_00,00_10,10_00,00_11,11_00	1.0	8.0	[]	237.63939	239.12811	[]	240.87534	242.35928	3	241.8985	[['3', 241.89850390003994]]	[]	245.84227	247.32812	2	246.65387	[['2', 246.65387629996985]]	[]	250.80954	252.30061	2	251.5954	[['2', 251.59539839997888]]	[]	255.78514	257.2688	2	256.59296	[['2', 256.5929620000534]]	[]	260.75043	262.2388	2	261.47644	[['2', 261.47643820010126]]
10	0	6	3	1	0	1	7	3	1	1	1	1	0	0	1	1	1	0	0	1	1	2	1	0	0	1	0	0	0	0	31310101110.0	03_13,13_10,10_10,10_11,11_10	1.0	9.0	[]	266.97397	268.45453	[]	270.1995	271.689	2	270.77353	[['2', 270.7735162000172]]	[]	275.17334	276.65454	3	275.8341	[['3', 275.83411230007187]]	[]	280.14047	281.62943	2	280.91528	[['2', 280.9152771998197]]	[]	285.1092	286.59903	2	285.8329	[['2', 285.8328768000938]]	[]	290.0851	291.5692	2	290.70618	[['2', 290.70616459986195]]
