TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	6	3	1	0	1	1	0	0	1	0	6	3	1	0	1	2	1	0	0	0	6	3	1	0	1	5	2	1	1	31003110312.0	03_10,10_03,03_11,11_03,03_12	1.0	0.0	[]	3.0038643	4.48957	[]	6.236233	7.717726	3	6.8906736	[['3', 6.890673699788749]]	[]	11.200147	12.688735	3	11.95255	[['3', 11.95255019981414]]	[]	16.1748	17.658861	3	17.143955	[['3', 17.14395570009947]]	[]	21.14005	22.628588	3	21.958403	[['3', 21.958402100019157]]	[]	26.11396	27.598814	3	26.884417	[['3', 26.884415899869055]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	0	5	2	1	1	0	5	2	1	1	0	7	3	1	1	120113020203.0	12_01,01_13,13_02,02_02,02_03	1.0	1.0	[]	32.33304	33.814407	[]	35.558937	37.04834	3	36.300964	[['3', 36.30096369981766]]	[]	40.532032	42.01441	3	41.22382	[['3', 41.22382119996473]]	[]	45.501232	46.98444	3	46.20509	[['3', 46.205088099930435]]	[]	50.47039	51.958324	2	51.39947	[['2', 51.39947139983997]]	[]	55.44097	56.929108	2	56.080017	[['2', 56.08001809986308]]
3	0	4	2	1	0	1	4	2	1	0	0	4	2	1	0	1	7	3	1	1	0	6	3	1	0	0	7	3	1	1	21202130303.0	02_12,12_02,02_13,13_03,03_03	1.0	2.0	[]	61.667408	63.149807	[]	64.89171	66.374504	3	65.60696	[['3', 65.60695979977027]]	[]	69.861305	71.34963	3	70.5705	[['3', 70.57050319993868]]	[]	74.836464	76.31901	3	75.54625	[['3', 75.54624910000712]]	[]	79.80072	81.2886	3	80.830376	[['3', 80.83037259988487]]	[]	84.76957	86.2587	2	85.656425	[['2', 85.65642180014402]]
4	0	0	0	0	0	0	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	5	2	1	1	0	1	0	0	1	1000200.0	00_00,00_01,01_00,00_02,02_00	1.0	3.0	[]	90.994385	92.474434	[]	94.218994	95.70839	2	94.854744	[['2', 94.85474599990994]]	[]	99.19605	100.67778	2	99.82094	[['2', 99.82094189990312]]	[]	104.16096	105.648285	2	104.750694	[['2', 104.75069440016523]]	[]	109.13018	110.61947	2	109.74298	[['2', 109.74297749996185]]	[]	114.10492	115.5847	2	114.75761	[['2', 114.75760440016165]]
5	1	5	2	1	1	0	6	3	1	0	1	6	3	1	0	1	0	0	0	0	1	1	0	0	1	1	3	1	0	1	120313101011.0	12_03,03_13,13_10,10_10,10_11	1.0	4.0	[]	120.3227	121.8045	[]	123.555595	125.03876	3	124.205795	[['3', 124.20579309994355]]	[]	128.51738	130.00844	3	129.27672	[['3', 129.276719099842]]	[]	133.49237	134.97427	2	133.99843	[['2', 133.99843200016767]]	[]	138.45734	139.94958	2	139.36153	[['2', 139.36152820009738]]	[]	143.42972	144.91911	2	144.06851	[['2', 144.06850910000503]]
6	0	7	3	1	1	0	5	2	1	1	1	0	0	0	0	0	5	2	1	1	1	3	1	0	1	0	4	2	1	0	30210021102.0	03_02,02_10,10_02,02_11,11_02	1.0	5.0	[]	149.65489	151.13818	[]	152.88051	154.36906	2	153.41031	[['2', 153.41030819993466]]	[]	157.84912	159.33826	3	158.86961	[['3', 158.86961559997872]]	[]	162.81857	164.30887	3	163.81454	[['3', 163.81454080017284]]	[]	167.79568	169.27429	3	168.46222	[['3', 168.46222529979423]]	[]	172.76067	174.24951	3	173.46701	[['3', 173.46701660007238]]
7	0	2	1	0	0	1	0	0	0	0	0	3	1	0	1	1	2	1	0	0	0	2	1	0	0	1	4	2	1	0	11001110112.0	01_10,10_01,01_11,11_01,01_12	1.0	6.0	[]	178.98698	180.46436	[]	182.20625	183.69838	3	182.87645	[['3', 182.87645530002192]]	[]	187.18076	188.66898	3	187.88762	[['3', 187.88762609986588]]	[]	192.1532	193.63927	3	192.70667	[['3', 192.70665920013562]]	[]	197.1215	198.60739	3	197.88919	[['3', 197.88919469993562]]	[]	202.09319	203.57915	3	202.98033	[['3', 202.98033819999546]]
8	1	2	1	0	0	0	1	0	0	1	1	5	2	1	1	0	0	0	0	0	1	6	3	1	0	0	2	1	0	0	110012001301.0	11_00,00_12,12_00,00_13,13_01	1.0	7.0	[]	208.31319	209.7988	[]	211.5462	213.02443	3	212.12363	[['3', 212.12362510012463]]	[]	216.50902	217.99484	3	217.28131	[['3', 217.28131490014493]]	[]	221.48637	222.96744	3	222.1222	[['3', 222.12218909990042]]	[]	226.44977	227.9386	3	227.06853	[['3', 227.0685212998651]]	[]	231.42694	232.90453	3	232.47437	[['3', 232.4743655999191]]
9	0	2	1	0	0	0	2	1	0	0	0	4	2	1	0	0	2	1	0	0	0	6	3	1	0	0	2	1	0	0	10102010301.0	01_01,01_02,02_01,01_03,03_01	1.0	8.0	[]	237.64342	239.12444	[]	240.86859	242.35976	2	241.77179	[['2', 241.7717871000059]]	[]	245.84311	247.32884	2	246.4862	[['2', 246.48621110012755]]	[]	250.81097	252.30064	2	251.60564	[['2', 251.60564270010218]]	[]	255.78445	257.2691	2	256.48465	[['2', 256.4846387999132]]	[]	260.74933	262.23975	2	261.53714	[['2', 261.5371369998902]]
10	0	0	0	0	0	0	7	3	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	1	0	0	300100011.0	00_03,03_00,00_10,10_00,00_11	1.0	9.0	[]	266.97754	268.45804	[]	270.19962	271.68982	2	270.7746	[['2', 270.77458399999887]]	[]	275.17667	276.65778	2	275.86148	[['2', 275.86147799994797]]	[]	280.14032	281.62894	3	280.8343	[['3', 280.83428600011393]]	[]	285.1102	286.5945	3	286.12378	[['3', 286.1237862999551]]	[]	290.0838	291.56897	3	291.0174	[['3', 291.01740830019116]]
