TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	0.0	[]	3.0021944	4.488891	[]	6.2308006	7.7178574	[]	11.2051735	12.6893835	3	11.963439	[['3', 11.963439399842173]]
2	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	1.0	[]	17.425629	18.90828	[]	20.655401	22.138088	[]	25.619358	27.109922	2	26.541292	[['2', 26.54129259986803]]
3	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	2.0	[]	31.847998	33.32818	[]	35.071575	36.5565	[]	40.036446	41.52832	3	40.532093	[['3', 40.53209130000323]]
4	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	3.0	[]	46.266586	47.748287	[]	49.489723	50.978073	[]	54.465767	55.948166	2	55.227596	[['2', 55.22759669972584]]
5	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	4.0	[]	60.68261	62.169018	[]	63.915176	65.39698	[]	68.87884	70.3682	3	69.63756	[['3', 69.63755569979548]]
6	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	5.0	[]	75.106415	76.58919	[]	78.33055	79.81776	[]	83.30359	84.789474	2	84.083885	[['2', 84.08388409996405]]
7	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	6.0	[]	89.52382	91.00852	[]	92.75016	94.23921	[]	97.72436	99.209274	3	98.36352	[['3', 98.36351559963077]]
8	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	7.0	[]	103.94331	105.42801	[]	107.168335	108.6598	[]	112.1432	113.62727	3	112.786446	[['3', 112.78644729964435]]
9	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	8.0	[]	118.36681	119.847984	[]	121.58876	123.07937	[]	126.55706	128.04793	3	127.42709	[['3', 127.42709199991077]]
10	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	9.0	[]	132.78688	134.26895	[]	136.01184	137.4982	[]	140.98491	142.46861	3	141.71791	[['3', 141.71791639970616]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.2025	148.68912	[]	150.43307	151.91786	[]	155.40082	156.88937	3	155.97258	[['3', 155.9725794000551]]
12	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	11.0	[]	161.62263	163.10863	[]	164.85132	166.33936	[]	169.81703	171.309	3	170.43875	[['3', 170.43875409988686]]
13	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	12.0	[]	176.04669	177.52936	[]	179.27138	180.75856	[]	184.23944	185.72914	3	184.98172	[['3', 184.98172309994698]]
