TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	0	2	1	0	0	1	2	1	0	0	0	2	1	0	0	1	4	2	1	0	0	3	1	0	1	1	7	3	1	1	11101120113.0	01_11,11_01,01_12,12_01,01_13	1.0	0.0	[]	3.0009575	4.4895577	[]	6.233107	7.7177377	2	7.0054736	[['2', 7.005473800003529]]	[]	11.204441	12.689022	2	11.973708	[['2', 11.97370809968561]]	[]	16.173529	17.65875	3	16.875858	[['3', 16.875858099665493]]	[]	21.146168	22.629063	2	22.068514	[['2', 22.068513999693096]]	[]	26.110422	27.597843	3	27.167645	[['3', 27.16764419991523]]
2	1	7	3	1	1	1	1	0	0	1	1	1	0	0	1	1	3	1	0	1	1	1	0	0	1	1	4	2	1	0	131010111012.0	13_10,10_10,10_11,11_10,10_12	1.0	1.0	[]	32.33763	33.814503	[]	35.562214	37.04791	3	36.454735	[['3', 36.45473609957844]]	[]	40.534935	42.01451	2	41.323814	[['2', 41.32381480000913]]	[]	45.50183	46.988853	3	46.398094	[['3', 46.39809349970892]]	[]	50.470783	51.958546	3	51.324627	[['3', 51.324628699570894]]	[]	55.43848	56.929165	3	56.54513	[['3', 56.545132800005376]]
3	0	5	2	1	1	0	3	1	0	1	0	7	3	1	1	0	2	1	0	0	1	0	0	0	0	0	3	1	0	1	20103011001.0	02_01,01_03,03_01,01_10,10_01	1.0	2.0	[]	61.66291	63.149864	[]	64.89283	66.3782	3	65.66546	[['3', 65.66545899957418]]	[]	69.85981	71.346466	3	70.57469	[['3', 70.57468799967319]]	[]	74.83308	76.3183	3	75.523285	[['3', 75.52328309975564]]	[]	79.801125	81.287766	3	80.571495	[['3', 80.57149729970843]]	[]	84.76845	86.25832	3	85.54842	[['3', 85.54842229979113]]
4	1	0	0	0	0	0	5	2	1	1	1	2	1	0	0	0	4	2	1	0	1	4	2	1	0	0	5	2	1	1	100211021202.0	10_02,02_11,11_02,02_12,12_02	1.0	3.0	[]	90.996895	92.47936	[]	94.22095	95.704865	3	94.94445	[['3', 94.94445329997689]]	[]	99.19375	100.67738	3	99.89326	[['3', 99.89325679978356]]	[]	104.16171	105.64824	3	105.29437	[['3', 105.2943698996678]]	[]	109.133934	110.61448	2	110.10025	[['2', 110.10025369981304]]	[]	114.09983	115.58481	2	114.81144	[['2', 114.81144039984792]]
5	0	7	3	1	1	1	2	1	0	0	0	6	3	1	0	1	4	2	1	0	0	7	3	1	1	1	6	3	1	0	31103120313.0	03_11,11_03,03_12,12_03,03_13	1.0	4.0	[]	120.32071	121.80837	[]	123.55336	125.038795	3	124.24872	[['3', 124.24871569965035]]	[]	128.5188	130.0085	3	129.4784	[['3', 129.47839730000123]]	[]	133.49591	134.97842	3	134.74883	[['3', 134.74882739968598]]	[]	138.4613	139.94656	3	139.50146	[['3', 139.50146369962022]]	[]	143.42513	144.91805	2	144.13602	[['2', 144.13601219980046]]
6	0	5	2	1	1	1	6	3	1	0	0	6	3	1	0	0	7	3	1	1	1	0	0	0	0	0	7	3	1	1	21303031003.0	02_13,13_03,03_03,03_10,10_03	1.0	5.0	[]	149.65648	151.13841	[]	152.88028	154.3681	3	153.55983	[['3', 153.5598324998282]]	[]	157.85538	159.33829	2	158.65141	[['2', 158.6514116995968]]	[]	162.82083	164.30899	2	163.55656	[['2', 163.55656309984624]]	[]	167.78955	169.27484	3	168.48518	[['3', 168.48519029980525]]	[]	172.76324	174.24925	3	173.5325	[['3', 173.532505299896]]
7	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	4	2	1	0	1000110012.0	00_10,10_00,00_11,11_00,00_12	1.0	6.0	[]	178.98425	180.46764	[]	182.21234	183.6983	2	182.98505	[['2', 182.98504119971767]]	[]	187.17511	188.66716	2	187.88733	[['2', 187.887331799604]]	[]	192.15483	193.63948	3	193.09975	[['3', 193.09974509989843]]	[]	197.12132	198.60774	3	198.07655	[['3', 198.07654909975827]]	[]	202.09238	203.57713	3	202.7925	[['3', 202.79248989978805]]
8	1	4	2	1	0	0	0	0	0	0	1	7	3	1	1	0	2	1	0	0	0	2	1	0	0	0	4	2	1	0	120013010102.0	12_00,00_13,13_01,01_01,01_02	1.0	7.0	[]	208.31404	209.79988	[]	211.54266	213.0267	3	212.18355	[['3', 212.18354789959267]]	[]	216.51268	217.99992	3	217.37772	[['3', 217.37771959975362]]	[]	221.48384	222.96727	3	222.29875	[['3', 222.2987443995662]]	[]	226.45251	227.93796	2	227.3936	[['2', 227.39360179984942]]	[]	231.41624	232.90894	3	232.31888	[['3', 232.31887369975448]]
9	0	3	1	0	1	0	0	0	0	0	0	5	2	1	1	0	0	0	0	0	0	7	3	1	1	0	0	0	0	0	10002000300.0	01_00,00_02,02_00,00_03,03_00	1.0	8.0	[]	237.6469	239.12685	[]	240.87373	242.35902	3	241.65475	[['3', 241.6547619998455]]	[]	245.84244	247.32797	3	246.6222	[['3', 246.62218889966607]]	[]	250.81128	252.29974	3	251.66335	[['3', 251.66334909992293]]	[]	255.78473	257.2695	3	256.4402	[['3', 256.44018219970167]]	[]	260.7498	262.2396	3	261.58923	[['3', 261.58922309987247]]
10	1	7	3	1	1	0	5	2	1	1	0	4	2	1	0	0	6	3	1	0	0	5	2	1	1	1	1	0	0	1	130202030210.0	13_02,02_02,02_03,03_02,02_10	1.0	9.0	[]	266.97668	268.45792	[]	270.20193	271.68942	3	270.99484	[['3', 270.99484619963914]]	[]	275.16537	276.65808	2	275.98764	[['2', 275.9876388995908]]	[]	280.14426	281.6242	3	281.2999	[['3', 281.29989519994706]]	[]	285.1113	286.59885	3	286.22064	[['3', 286.2206562999636]]	[]	290.08267	291.56912	3	290.69482	[['3', 290.69481319980696]]
