TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	0.0	[]	3.0007112	4.492143	[]	6.231957	7.7181497	[]	11.203283	12.689901	2	11.859637	[['2', 11.85963759990409]]
2	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	1.0	[]	17.423246	18.909647	[]	20.648354	22.139032	[]	25.616863	27.109642	3	26.275057	[['3', 26.275056700222194]]
3	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	2.0	[]	31.845596	33.329517	[]	35.071728	36.555767	[]	40.04568	41.529408	3	40.692154	[['3', 40.69215500028804]]
4	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	3.0	[]	46.26343	47.748177	[]	49.48954	50.979435	[]	54.464886	55.948082	2	55.120975	[['2', 55.120974000077695]]
5	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	4.0	[]	60.681	62.164257	[]	63.9168	65.39822	[]	68.881226	70.3679	2	69.863556	[['2', 69.86355300014839]]
6	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	5.0	[]	75.100876	76.58911	[]	78.33482	79.8145	[]	83.300835	84.790016	3	84.17218	[['3', 84.17217850033194]]
7	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	6.0	[]	89.52746	91.00726	[]	92.75054	94.23904	[]	97.72446	99.20978	3	98.497894	[['3', 98.49789420003071]]
8	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	7.0	[]	103.94023	105.42917	[]	107.1682	108.65895	[]	112.141815	113.629074	3	112.82973	[['3', 112.82972839986905]]
9	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	8.0	[]	118.36128	119.84835	[]	121.5979	123.07906	[]	126.55634	128.04832	3	127.33597	[['3', 127.33596759987995]]
10	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	9.0	[]	132.78561	134.26833	[]	136.00647	137.49814	[]	140.98047	142.46736	2	141.95952	[['2', 141.9595146002248]]
11	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	10.0	[]	147.20576	148.689	[]	150.4306	151.91875	[]	155.40297	156.88788	3	156.06044	[['3', 156.0604417999275]]
12	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	11.0	[]	161.62175	163.1096	[]	164.85289	166.33786	[]	169.82133	171.30952	3	170.53348	[['3', 170.53347600018606]]
13	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	12.0	[]	176.04028	177.52892	[]	179.27563	180.75702	[]	184.24002	185.7263	2	184.84973	[['2', 184.84972460009158]]
