loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,tc
0,6,3,1,0,1,2,1,0,0,1,1,0,0,1,03_11_10
1,4,2,1,0,1,7,3,1,1,1,3,1,0,1,12_13_11
0,3,1,0,1,0,0,0,0,0,1,1,0,0,1,01_00_10
0,6,3,1,0,1,1,0,0,1,0,5,2,1,1,03_10_02
1,2,1,0,0,0,2,1,0,0,0,1,0,0,1,11_01_00
1,1,0,0,1,0,3,1,0,1,0,6,3,1,0,10_01_03
0,0,0,0,0,0,7,3,1,1,0,5,2,1,1,00_03_02
1,4,2,1,0,0,2,1,0,0,1,6,3,1,0,12_01_13
0,6,3,1,0,0,0,0,0,0,0,5,2,1,1,03_00_02
1,5,2,1,1,0,5,2,1,1,1,4,2,1,0,12_02_12
1,2,1,0,0,1,0,0,0,0,1,7,3,1,1,11_10_13
0,2,1,0,0,1,5,2,1,1,1,7,3,1,1,01_12_13
0,2,1,0,0,0,1,0,0,1,0,6,3,1,0,01_00_03
