loc1,ref1,obj1,ctg1,ang1,loc2,ref2,obj2,ctg2,ang2,loc3,ref3,obj3,ctg3,ang3,tc
1,5,2,1,1,1,0,0,0,0,0,6,3,1,0,12_10_03
0,1,0,0,1,0,4,2,1,0,0,4,2,1,0,00_02_02
1,6,3,1,0,1,2,1,0,0,0,5,2,1,1,13_11_02
0,4,2,1,0,0,4,2,1,0,0,1,0,0,1,02_02_00
0,0,0,0,0,0,2,1,0,0,1,1,0,0,1,00_01_10
1,6,3,1,0,1,7,3,1,1,1,1,0,0,1,13_13_10
0,4,2,1,0,0,3,1,0,1,0,5,2,1,1,02_01_02
1,6,3,1,0,0,7,3,1,1,1,3,1,0,1,13_03_11
1,1,0,0,1,1,1,0,0,1,1,6,3,1,0,10_10_13
1,0,0,0,0,1,4,2,1,0,0,6,3,1,0,10_12_03
1,3,1,0,1,0,4,2,1,0,0,7,3,1,1,11_02_03
1,2,1,0,0,1,4,2,1,0,0,3,1,0,1,11_12_01
1,2,1,0,0,1,4,2,1,0,1,4,2,1,0,11_12_12
1,1,0,0,1,0,3,1,0,1,0,5,2,1,1,10_01_02
0,6,3,1,0,1,6,3,1,0,1,2,1,0,0,03_13_11
1,5,2,1,1,0,0,0,0,0,0,2,1,0,0,12_00_01
1,4,2,1,0,0,0,0,0,0,1,4,2,1,0,12_00_12
0,6,3,1,0,0,7,3,1,1,1,1,0,0,1,03_03_10
1,2,1,0,0,0,7,3,1,1,0,6,3,1,0,11_03_03
0,3,1,0,1,1,6,3,1,0,0,3,1,0,1,01_13_01
