TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	0.0	[]	3.0003192	4.4899855	[]	6.2337	7.7166657	[]	11.199744	12.689302	2	12.691344	[['2', 12.69134380016476]]
2	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	1.0	[]	17.423018	18.90956	[]	20.651659	22.13913	[]	25.621374	27.109411	3	27.471447	[['3', 27.471447700168937]]
3	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	2.0	[]	31.846134	33.329468	[]	35.07458	36.55752	[]	40.040493	41.530018	3	41.01522	[['3', 41.01521890005097]]
4	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	3.0	[]	46.265755	47.748524	[]	49.49014	50.97948	[]	54.46554	55.948162	2	54.9674	[['2', 54.96739820018411]]
5	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	4.0	[]	60.68206	62.164345	[]	63.915417	65.39817	[]	68.8813	70.36437	2	69.52956	[['2', 69.52955680014566]]
6	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	5.0	[]	75.10166	76.58847	[]	78.33676	79.81512	[]	83.30128	84.78853	3	84.16657	[['3', 84.16657460015267]]
7	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	6.0	[]	89.52825	91.00956	[]	92.74954	94.23912	[]	97.722786	99.2101	3	98.72704	[['3', 98.72704210015945]]
8	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	7.0	[]	103.94287	105.42914	[]	107.17362	108.65791	[]	112.14056	113.62884	3	113.04832	[['3', 113.04831320000812]]
9	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	8.0	[]	118.36409	119.84865	[]	121.591286	123.07872	[]	126.55587	128.04868	2	127.64686	[['2', 127.64686170010827]]
10	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	9.0	[]	132.78468	134.26797	[]	136.00972	137.49852	[]	140.98517	142.46622	2	141.66254	[['2', 141.6625420001801]]
11	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	10.0	[]	147.20503	148.68846	[]	150.43134	151.91801	[]	155.4048	156.88826	2	156.16833	[['2', 156.16833180002868]]
12	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	11.0	[]	161.62228	163.10954	[]	164.85303	166.33824	[]	169.8162	171.30428	3	170.77002	[['3', 170.77001229999587]]
13	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	12.0	[]	176.04243	177.53058	[]	179.27116	180.75711	[]	184.23978	185.72833	3	185.23492	[['3', 185.23492230009288]]
