TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	0	6	3	1	0	1	2	1	0	0	1	1	0	0	1	31110.0	1.0	0.0	[]	3.0012922	4.4895687	[]	6.2332125	7.7178707	[]	11.204638	12.689381	2	12.001661	[['2', 12.001661099959165]]
2	1	4	2	1	0	1	7	3	1	1	1	3	1	0	1	121311.0	1.0	1.0	[]	17.423447	18.90869	[]	20.656384	22.139162	[]	25.616703	27.108791	3	26.39783	[['3', 26.397829399909824]]
3	0	3	1	0	1	0	0	0	0	0	1	1	0	0	1	10010.0	1.0	2.0	[]	31.84316	33.328938	[]	35.073044	36.559452	[]	40.040062	41.527115	2	40.610756	[['2', 40.61075680004433]]
4	0	6	3	1	0	1	1	0	0	1	0	5	2	1	1	31002.0	1.0	3.0	[]	46.259983	47.750122	[]	49.49176	50.977085	[]	54.46023	55.9484	3	55.2546	[['3', 55.25459999986924]]
5	1	2	1	0	0	0	2	1	0	0	0	1	0	0	1	110100.0	1.0	4.0	[]	60.68307	62.167946	[]	63.910557	65.39979	[]	68.87674	70.36801	3	69.54069	[['3', 69.54068419989198]]
6	1	1	0	0	1	0	3	1	0	1	0	6	3	1	0	100103.0	1.0	5.0	[]	75.101776	76.588394	[]	78.333	79.81845	[]	83.30093	84.788605	3	83.92545	[['3', 83.92545009986497]]
7	0	0	0	0	0	0	7	3	1	1	0	5	2	1	1	302.0	1.0	6.0	[]	89.52232	91.00929	[]	92.750854	94.23877	[]	97.72562	99.20873	2	98.455635	[['2', 98.4556336000096]]
8	1	4	2	1	0	0	2	1	0	0	1	6	3	1	0	120113.0	1.0	7.0	[]	103.941025	105.42487	[]	107.16768	108.658966	[]	112.14268	113.627815	3	113.833015	[['3', 113.83301339996979]]
9	0	6	3	1	0	0	0	0	0	0	0	5	2	1	1	30002.0	1.0	8.0	[]	118.36232	119.84834	[]	121.59125	123.079605	[]	126.55631	128.04831	2	127.11183	[['2', 127.11183339986019]]
10	1	5	2	1	1	0	5	2	1	1	1	4	2	1	0	120212.0	1.0	9.0	[]	132.78778	134.26445	[]	136.00745	137.4997	[]	140.97543	142.46729	3	142.03746	[['3', 142.03745789988898]]
11	1	2	1	0	0	1	0	0	0	0	1	7	3	1	1	111013.0	1.0	10.0	[]	147.20279	148.68858	[]	150.43024	151.91814	[]	155.40274	156.8885	3	156.18056	[['3', 156.18056260002777]]
12	0	2	1	0	0	1	5	2	1	1	1	7	3	1	1	11213.0	1.0	11.0	[]	161.62392	163.10886	[]	164.8554	166.33844	[]	169.81934	171.30908	2	170.24873	[['2', 170.248728599865]]
13	0	2	1	0	0	0	1	0	0	1	0	6	3	1	0	10003.0	1.0	12.0	[]	176.04488	177.52681	[]	179.26971	180.75859	[]	184.24055	185.72408	3	184.80156	[['3', 184.80155520001426]]
