TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	1	3	1	0	1	0	0	0	0	0	1	5	2	1	1	0	0	0	0	0	1	7	3	1	1	0	2	1	0	0	110012001301.0	11_00,00_12,12_00,00_13,13_01	1.0	0.0	[]	3.0030043	4.48866	[]	6.236225	7.7188087	3	7.039669	[['3', 7.039669000077993]]	[]	11.203966	12.689074	3	11.90428	[['3', 11.904279600130394]]	[]	16.174454	17.657848	3	16.902987	[['3', 16.902986200060695]]	[]	21.14016	22.629793	3	21.914818	[['3', 21.914818200049922]]	[]	26.109226	27.598639	3	26.926334	[['3', 26.926333700073883]]
2	0	7	3	1	1	1	1	0	0	1	0	7	3	1	1	1	3	1	0	1	0	7	3	1	1	1	5	2	1	1	31003110312.0	03_10,10_03,03_11,11_03,03_12	1.0	1.0	[]	32.332397	33.814365	[]	35.561	37.048637	3	36.164593	[['3', 36.16459390008822]]	[]	40.531174	42.01451	3	41.338173	[['3', 41.338173100026324]]	[]	45.504776	46.98915	3	46.538532	[['3', 46.538533200044185]]	[]	50.46872	51.959072	3	51.323402	[['3', 51.32340420014225]]	[]	55.445724	56.926945	3	56.229706	[['3', 56.22970420005731]]
3	0	2	1	0	0	1	1	0	0	1	0	2	1	0	0	1	2	1	0	0	0	2	1	0	0	1	5	2	1	1	11001110112.0	01_10,10_01,01_11,11_01,01_12	1.0	2.0	[]	61.658245	63.148914	[]	64.89483	66.37413	3	65.69998	[['3', 65.69998440006748]]	[]	69.857086	71.34841	3	70.40019	[['3', 70.40019050007686]]	[]	74.829666	76.315094	3	75.628944	[['3', 75.62894350010902]]	[]	79.800575	81.28931	3	80.65347	[['3', 80.65347500005737]]	[]	84.7709	86.2599	3	85.72104	[['3', 85.72103570005856]]
4	1	5	2	1	1	0	7	3	1	1	1	6	3	1	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	1	120313101011.0	12_03,03_13,13_10,10_10,10_11	1.0	3.0	[]	90.99842	92.47926	[]	94.222305	95.707886	3	95.07606	[['3', 95.07605710020289]]	[]	99.190414	100.67825	3	99.96398	[['3', 99.96398010011762]]	[]	104.15726	105.64861	2	104.92317	[['2', 104.92316900007427]]	[]	109.13168	110.614204	2	109.718956	[['2', 109.71895850007422]]	[]	114.10397	115.5898	2	114.75988	[['2', 114.75988060003147]]
5	0	0	0	0	0	0	7	3	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	1	0	1	300100011.0	00_03,03_00,00_10,10_00,00_11	1.0	4.0	[]	120.32356	121.80792	[]	123.549034	125.039024	2	124.153336	[['2', 124.15333620016463]]	[]	128.52425	130.00961	2	129.20483	[['2', 129.204826900037]]	[]	133.49005	134.9789	3	133.97606	[['3', 133.97606260003522]]	[]	138.4642	139.94846	3	139.30928	[['3', 139.30927460012026]]	[]	143.43053	144.91791	3	144.28737	[['3', 144.28736720001325]]
6	0	7	3	1	1	0	5	2	1	1	1	0	0	0	0	0	4	2	1	0	1	3	1	0	1	0	5	2	1	1	30210021102.0	03_02,02_10,10_02,02_11,11_02	1.0	5.0	[]	149.65314	151.13828	[]	152.88484	154.36446	2	153.63853	[['2', 153.63853460014798]]	[]	157.85062	159.3394	3	158.26595	[['3', 158.265942200087]]	[]	162.8265	164.3071	3	163.74275	[['3', 163.74275299999863]]	[]	167.79047	169.2788	3	168.5051	[['3', 168.50509380013682]]	[]	172.76279	174.2485	3	173.78853	[['3', 173.78853180003352]]
7	0	5	2	1	1	1	4	2	1	0	0	4	2	1	0	1	7	3	1	1	0	7	3	1	1	0	6	3	1	0	21202130303.0	02_12,12_02,02_13,13_03,03_03	1.0	6.0	[]	178.98564	180.46767	[]	182.20532	183.69827	3	182.79115	[['3', 182.79114860016853]]	[]	187.1853	188.66766	3	187.64754	[['3', 187.64754070015624]]	[]	192.14868	193.63977	3	192.92796	[['3', 192.92795959999785]]	[]	197.12665	198.60703	3	198.07808	[['3', 198.07807889999822]]	[]	202.09058	203.5789	2	202.9048	[['2', 202.90480600018054]]
8	0	2	1	0	0	0	3	1	0	1	0	4	2	1	0	0	3	1	0	1	0	7	3	1	1	0	2	1	0	0	10102010301.0	01_01,01_02,02_01,01_03,03_01	1.0	7.0	[]	208.31326	209.79836	[]	211.54459	213.02898	2	212.13863	[['2', 212.13862000009976]]	[]	216.50542	217.99724	2	217.04962	[['2', 217.04962210007943]]	[]	221.48314	222.96964	2	222.05754	[['2', 222.05754530010745]]	[]	226.45007	227.93837	2	227.04805	[['2', 227.0480571000371]]	[]	231.4238	232.90439	2	232.03595	[['2', 232.03594220010564]]
9	0	1	0	0	1	0	0	0	0	0	0	3	1	0	1	0	1	0	0	1	0	4	2	1	0	0	1	0	0	1	1000200.0	00_00,00_01,01_00,00_02,02_00	1.0	8.0	[]	237.64455	239.12912	[]	240.8766	242.35713	2	241.46577	[['2', 241.46578080020845]]	[]	245.84198	247.32915	2	247.09193	[['2', 247.09193080011755]]	[]	250.80836	252.29848	2	251.31476	[['2', 251.3147512001451]]	[]	255.78183	257.26672	2	256.34232	[['2', 256.3423190000467]]	[]	260.74988	262.2391	2	261.33847	[['2', 261.3384748001117]]
10	1	4	2	1	0	0	3	1	0	1	1	6	3	1	0	0	4	2	1	0	0	5	2	1	1	0	6	3	1	0	120113020203.0	12_01,01_13,13_02,02_02,02_03	1.0	9.0	[]	266.97775	268.45703	[]	270.19998	271.68918	3	270.90717	[['3', 270.90715600014664]]	[]	275.1742	276.65445	3	275.7303	[['3', 275.7302854000591]]	[]	280.14078	281.62903	3	280.54736	[['3', 280.5473695001565]]	[]	285.11502	286.59818	2	285.62286	[['2', 285.62285610008985]]	[]	290.0805	291.56952	2	290.69067	[['2', 290.690675200196]]
