TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	loc4	ref4	obj4	ctg4	ang4	loc5	ref5	obj5	ctg5	ang5	loc6	ref6	obj6	ctg6	ang6	tc_nodes	tc_pairs	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	response_1	response_1_time	all_responses_1	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2	late_responses_3	stimulus_3_onset	stimulus_3_offset	response_3	response_3_time	all_responses_3	late_responses_4	stimulus_4_onset	stimulus_4_offset	response_4	response_4_time	all_responses_4	late_responses_5	stimulus_5_onset	stimulus_5_offset	response_5	response_5_time	all_responses_5
1	1	4	2	1	0	0	1	0	0	1	1	6	3	1	0	0	2	1	0	0	0	2	1	0	0	0	5	2	1	1	120013010102.0	12_00,00_13,13_01,01_01,01_02	1.0	0.0	[]	3.000886	4.4840393	[]	6.232921	7.717234	3	7.159368	[['3', 7.159367899876088]]	[]	11.202367	12.68951	3	11.949466	[['3', 11.949465999845415]]	[]	16.170639	17.659159	3	16.806253	[['3', 16.806253100046888]]	[]	21.144821	22.62937	2	21.80248	[['2', 21.802481099963188]]	[]	26.110338	27.598396	3	26.725489	[['3', 26.725487899966538]]
2	0	6	3	1	0	1	2	1	0	0	0	6	3	1	0	1	4	2	1	0	0	6	3	1	0	1	6	3	1	0	31103120313.0	03_11,11_03,03_12,12_03,03_13	1.0	1.0	[]	32.335472	33.81897	[]	35.56088	37.048325	3	36.07252	[['3', 36.07251959992573]]	[]	40.53512	42.018883	3	41.169617	[['3', 41.169618600048125]]	[]	45.502037	46.986073	3	47.015686	[['3', 47.015685899881646]]	[]	50.469006	51.959633	3	51.111702	[['3', 51.111700899899006]]	[]	55.445824	56.929066	2	56.62751	[['2', 56.62750929989852]]
3	0	2	1	0	0	1	3	1	0	1	0	2	1	0	0	1	4	2	1	0	0	3	1	0	1	1	7	3	1	1	11101120113.0	01_11,11_01,01_12,12_01,01_13	1.0	2.0	[]	61.662632	63.14855	[]	64.896904	66.37932	2	65.6269	[['2', 65.62689889990725]]	[]	69.862335	71.34951	2	70.44214	[['2', 70.44214239995927]]	[]	74.82544	76.31783	3	75.40443	[['3', 75.40443029999733]]	[]	79.80454	81.28942	3	80.69616	[['3', 80.69616139982827]]	[]	84.76877	86.25916	3	85.686356	[['3', 85.68635750003159]]
4	1	6	3	1	0	1	0	0	0	0	1	0	0	0	0	1	3	1	0	1	1	1	0	0	1	1	5	2	1	1	131010111012.0	13_10,10_10,10_11,11_10,10_12	1.0	3.0	[]	90.99702	92.477974	[]	94.22028	95.708694	3	94.8645	[['3', 94.864502399927]]	[]	99.19562	100.67937	2	99.98694	[['2', 99.98694179998711]]	[]	104.16227	105.649826	3	104.83576	[['3', 104.83575830003247]]	[]	109.13021	110.618744	3	110.09053	[['3', 110.09052910003811]]	[]	114.101845	115.58488	3	114.9144	[['3', 114.91439749998972]]
5	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	2	1	0	0	0	0	0	0	0	1	4	2	1	0	1000110012.0	00_10,10_00,00_11,11_00,00_12	1.0	4.0	[]	120.32268	121.80865	[]	123.55613	125.03438	2	124.04588	[['2', 124.04588350001723]]	[]	128.52063	130.00493	2	129.25748	[['2', 129.25747959990986]]	[]	133.48512	134.97739	3	136.11441	[['3', 136.11440329998732]]	[]	138.46378	139.94957	3	140.37798	[['3', 140.37797489995137]]	[]	143.4256	144.91777	3	144.90419	[['3', 144.90419459994882]]
6	1	0	0	0	0	0	4	2	1	0	1	2	1	0	0	0	5	2	1	1	1	4	2	1	0	0	5	2	1	1	100211021202.0	10_02,02_11,11_02,02_12,12_02	1.0	5.0	[]	149.6561	151.13857	[]	152.87544	154.36813	3	153.98929	[['3', 153.98929249984212]]	[]	157.85518	159.33815	3	160.40508	[['3', 160.4050729998853]]	[]	162.81607	164.30925	3	165.09627	[['3', 165.09626539982855]]	[]	167.79597	169.2784	2	169.72981	[['3', 169.2243981999345], ['2', 169.7298122998327]]	[]	172.76112	174.24666	3	175.52519	[['3', 175.52519969991408]]
7	0	4	2	1	0	1	7	3	1	1	0	7	3	1	1	0	6	3	1	0	1	0	0	0	0	0	6	3	1	0	21303031003.0	02_13,13_03,03_03,03_10,10_03	1.0	6.0	[]	178.98134	180.4673	[]	182.21272	183.69966	3	185.04062	[['3', 185.04061300004832]]	[]	187.18329	188.6645	2	187.88014	[['2', 187.88014669995755]]	[]	192.15024	193.63884	2	193.70137	[['2', 193.70136790000834]]	[]	197.12198	198.60457	3	198.84258	[['3', 198.84257650002837]]	[]	202.09386	203.57953	3	203.26308	[['3', 203.26308029983193]]
8	0	5	2	1	1	0	3	1	0	1	0	6	3	1	0	0	3	1	0	1	1	1	0	0	1	0	2	1	0	0	20103011001.0	02_01,01_03,03_01,01_10,10_01	1.0	7.0	[]	208.31396	209.79852	[]	211.53992	213.0292	3	212.42632	[['3', 212.4263150000479]]	[]	216.51193	217.99998	3	217.53836	[['3', 217.53836090001278]]	[]	221.48393	222.96895	3	223.18027	[['3', 223.18026189994998]]	[]	226.45137	227.93883	3	227.90038	[['3', 227.9003708998207]]	[]	231.41656	232.90903	3	233.36711	[['3', 233.3671064998489]]
9	0	3	1	0	1	0	0	0	0	0	0	4	2	1	0	0	0	0	0	0	0	7	3	1	1	0	1	0	0	1	10002000300.0	01_00,00_02,02_00,00_03,03_00	1.0	8.0	[]	237.64754	239.12439	[]	240.86647	242.3558	3	244.3966	[['3', 244.39660999993794]]	[]	245.84259	247.32434	3	246.76964	[['3', 246.76963889994659]]	[]	250.81015	252.30093	3	251.50644	[['3', 251.50643439986743]]	[]	255.78627	257.268	3	256.8994	[['3', 256.89940449991263]]	[]	260.75143	262.2385	3	262.5138	[['3', 262.513796400046]]
10	1	6	3	1	0	0	5	2	1	1	0	4	2	1	0	0	7	3	1	1	0	4	2	1	0	1	0	0	0	0	130202030210.0	13_02,02_02,02_03,03_02,02_10	1.0	9.0	[]	266.97617	268.45804	[]	270.20062	271.68967	3	271.1747	[['3', 271.17470319988206]]	[]	275.17343	276.65768	2	276.1525	[['2', 276.1524864998646]]	[]	280.14325	281.62952	3	281.57224	[['3', 281.5722264999058]]	[]	285.10703	286.5992	3	286.39148	[['3', 286.39149279985577]]	[]	290.08286	291.5692	3	291.70328	[['3', 291.70328240003437]]
