TrialNumber	loc1	ref1	obj1	ctg1	ang1	loc2	ref2	obj2	ctg2	ang2	loc3	ref3	obj3	ctg3	ang3	tc	ran	order	late_responses_0	stimulus_0_onset	stimulus_0_offset	late_responses_1	stimulus_1_onset	stimulus_1_offset	late_responses_2	stimulus_2_onset	stimulus_2_offset	response_2	response_2_time	all_responses_2
1	1	1	0	0	1	1	7	3	1	1	0	7	3	1	1	101303.0	1.0	0.0	['2']	3.0058503	4.4860024	[]	6.231668	7.71869	[]	11.200525	12.687712	3	11.88395	[['3', 11.883950700052083]]
2	0	7	3	1	1	0	2	1	0	0	1	6	3	1	0	30113.0	1.0	1.0	[]	17.426174	18.906464	[]	20.647907	22.137768	[]	25.61871	27.109612	3	26.080376	[['3', 26.08037650003098]]
3	1	4	2	1	0	0	5	2	1	1	1	2	1	0	0	120211.0	1.0	2.0	[]	31.842613	33.32901	[]	35.0706	36.559643	[]	40.041626	41.524467	3	40.719124	[['3', 40.71912240004167]]
4	1	0	0	0	0	0	5	2	1	1	1	4	2	1	0	100212.0	1.0	3.0	[]	46.263004	47.74945	[]	49.491905	50.97694	[]	54.458786	55.949238	3	55.568806	[['3', 55.568806499941275]]
5	1	0	0	0	0	1	5	2	1	1	1	6	3	1	0	101213.0	1.0	4.0	[]	60.68403	62.167675	[]	63.909218	65.399025	[]	68.884544	70.36863	2	69.512115	[['2', 69.51211569993757]]
6	0	0	0	0	0	1	1	0	0	1	0	7	3	1	1	1003.0	1.0	5.0	[]	75.10449	76.584625	[]	78.33706	79.81865	[]	83.30128	84.786514	3	84.2844	[['3', 84.28440140001476]]
7	0	3	1	0	1	0	0	0	0	0	1	6	3	1	0	10013.0	1.0	6.0	[]	89.521034	91.00916	[]	92.751785	94.23403	[]	97.71656	99.20903	3	98.334625	[['3', 98.33462179987691]]
8	1	4	2	1	0	0	0	0	0	0	0	4	2	1	0	120002.0	1.0	7.0	[]	103.94719	105.424515	[]	107.17212	108.658295	[]	112.145	113.62442	2	112.75545	[['2', 112.75545069994405]]
9	0	1	0	0	1	0	1	0	0	1	0	2	1	0	0	1.0	1.0	8.0	[]	118.36262	119.84976	[]	121.59576	123.074295	[]	126.557274	128.0498	3	127.22359	[['3', 127.22358449990861]]
10	0	7	3	1	1	1	5	2	1	1	1	6	3	1	0	31213.0	1.0	9.0	[]	132.7839	134.26802	[]	136.01512	137.49976	[]	140.97638	142.46796	3	141.6408	[['3', 141.6407871998381]]
11	0	2	1	0	0	1	3	1	0	1	0	3	1	0	1	11101.0	1.0	10.0	[]	147.19943	148.68907	[]	150.43239	151.91805	[]	155.4	156.88895	2	156.10522	[['2', 156.1052259998396]]
12	1	3	1	0	1	0	5	2	1	1	0	3	1	0	1	110201.0	1.0	11.0	[]	161.62651	163.10843	[]	164.85135	166.33429	[]	169.82268	171.30759	2	170.35068	[['2', 170.350672399858]]
13	0	6	3	1	0	0	2	1	0	0	0	5	2	1	1	30102.0	1.0	12.0	[]	176.04192	177.52751	[]	179.27464	180.7589	[]	184.24094	185.72603	2	184.74876	[['2', 184.74875769997016]]
